candidate_table,candidate_column,similarity_score
BasketballTeam_right,title,0.6115529287515361
SportsLeague_right,title,0.518850327872607
SportsLeague_left,title,0.5188323617989781
RugbyLeague_left,title,0.512118257802148
SoccerLeague_left,title,0.5085965904690536
SoccerLeague_right,title,0.5074526097095521
EthnicGroup_right,title,0.5069910054976458
Wrestler_right,title,0.5063462421017528
TelevisionStation_left,title,0.5052030367554827
Tournament_left,title,0.5048653426251833
Reptile_left,title,0.5048636150334811
RailwayLine_left,title,0.5040754802371648
Wrestler_left,title,0.5027300442968496
RailwayLine_right,title,0.5021344430913959
Race_right,title,0.5014238483013099
EthnicGroup_left,title,0.5003419302724127
SportFacility_left,title,0.49913519802827694
Reptile_right,title,0.49739646082370786
Country_left,title,0.4971959116350377
Country_right,title,0.49625456444854804
Tournament_right,title,0.4960632058097672
ShoppingMall_right,title,0.49594187296506015
TelevisionStation_right,title,0.4951745913918875
GivenName_left,title,0.49499829582779054
Stadium_left,title,0.49470201020796517
Race_left,title,0.49438651328368727
Stadium_right,title,0.4938241605518723
Venue_left,title,0.49355709797970987
SportFacility_right,title,0.49280013830362945
GivenName_right,title,0.4923954149683241
Song_left,title,0.49198626905367915
Museum_left,title,0.49081144198999543
Device_right,title,0.49075079235496527
Amphibian_left,title,0.49044666444670754
Monarch_left,title,0.48998567762733436
PoliticalParty_left,title,0.4899484053572415
ShoppingMall_left,title,0.4896495231592846
Venue_right,title,0.4896214248416063
ChristianBishop_right,title,0.4890425825184616
ChristianBishop_left,title,0.48894684853089626
RugbyLeague_right,title,0.488909156707375
NationalFootballLeagueSeason_left,title,0.48817241673840533
Magazine_left,title,0.4879708817463923
Amphibian_right,title,0.4878940883875858
Magazine_right,title,0.4878451931668354
MemberOfParliament_left,title,0.4878363112961076
GovernmentAgency_left,title,0.48694319420126314
PoliticalParty_right,title,0.48479273276334917
GovernmentAgency_right,title,0.4847896861938627
Drug_right,title,0.4846048413797366
