candidate_table,candidate_column,similarity_score
Legislature_right,title,0.7099090814590454
Election_right,title,0.5202858448028564
Election_left,title,0.5081753730773926
GovernmentAgency_left,title,0.504714846611023
PoliticalParty_right,title,0.5045543909072876
GovernmentAgency_right,title,0.5033848881721497
Country_right,title,0.5004280209541321
Country_left,title,0.4920838475227356
PoliticalParty_left,title,0.4919874668121338
EthnicGroup_right,title,0.4804048538208008
ShoppingMall_right,title,0.4799509644508362
EthnicGroup_left,title,0.47866249084472656
RailwayLine_right,title,0.4771186113357544
ClericalAdministrativeRegion_right,title,0.4755483567714691
Hospital_right,title,0.47348836064338684
ShoppingMall_left,title,0.47336679697036743
ClericalAdministrativeRegion_left,title,0.47292739152908325
RailwayLine_left,title,0.47227340936660767
BasketballTeam_right,title,0.4715363383293152
MemberOfParliament_left,title,0.4683939516544342
Hospital_left,title,0.4680040776729584
HistoricBuilding_left,title,0.4673895537853241
SoccerLeague_left,title,0.46552228927612305
GivenName_left,title,0.4650498032569885
RugbyLeague_left,title,0.464771568775177
TelevisionStation_left,title,0.46397534012794495
SportFacility_left,title,0.4637860059738159
BasketballTeam_left,title,0.463114470243454
Magazine_left,title,0.4624052941799164
Venue_left,title,0.46232861280441284
SportsLeague_left,title,0.4618788957595825
Race_right,title,0.4617987275123596
Wrestler_right,title,0.461152046918869
MemberOfParliament_right,title,0.4607887268066406
Monarch_left,title,0.46069884300231934
ChristianBishop_right,title,0.45978373289108276
GivenName_right,title,0.4590758979320526
Reptile_left,title,0.45816510915756226
SoccerLeague_right,title,0.4578709006309509
Museum_left,title,0.4578678011894226
Monarch_right,title,0.45743730664253235
Drug_right,title,0.4573758840560913
SportFacility_right,title,0.4569423794746399
Drug_left,title,0.4557840824127197
ChristianBishop_left,title,0.4553130269050598
Noble_left,title,0.45524275302886963
Reptile_right,title,0.4551714062690735
Race_left,title,0.45452049374580383
RugbyLeague_right,id,0.4538964629173279
Stadium_right,title,0.4538167119026184
