candidate_table,candidate_column,similarity_score
MemberOfParliament_right,title,0.5150438547134399
MemberOfParliament_left,title,0.5086495876312256
Wrestler_right,title,0.49939432740211487
ChristianBishop_right,title,0.4971774220466614
Wrestler_left,title,0.4841935634613037
ChristianBishop_left,title,0.4804743230342865
Noble_left,title,0.4720780849456787
Noble_right,title,0.46546459197998047
GivenName_left,title,0.4609515070915222
Monarch_left,title,0.45905038714408875
GivenName_right,title,0.4536866545677185
Race_right,title,0.4495541453361511
Artwork_left,title,0.4488782286643982
SportFacility_left,title,0.4482061266899109
Stadium_left,title,0.4477943778038025
Race_left,title,0.4474398195743561
Tournament_left,title,0.4457475244998932
Song_left,title,0.445354163646698
TelevisionStation_left,title,0.44488057494163513
BasketballTeam_left,title,0.4448573589324951
PoliticalParty_left,title,0.44365060329437256
Award_left,title,0.44211772084236145
EthnicGroup_right,title,0.4416411817073822
Award_right,title,0.4400109350681305
EthnicGroup_left,title,0.44000956416130066
RailwayLine_left,title,0.43950849771499634
HistoricBuilding_left,title,0.43801307678222656
SportFacility_right,title,0.43793776631355286
RugbyLeague_left,title,0.4377385377883911
BasketballTeam_right,title,0.4375530481338501
Museum_left,title,0.43751949071884155
PoliticalParty_right,title,0.4369463622570038
Venue_left,title,0.43672922253608704
Stadium_right,title,0.43631067872047424
Country_left,title,0.43598997592926025
Legislature_left,title,0.4359118342399597
Magazine_left,title,0.4357198178768158
SportsLeague_left,title,0.43554744124412537
SoccerLeague_left,title,0.4348091185092926
GovernmentAgency_left,title,0.43397974967956543
Device_left,title,0.4336512088775635
Hospital_left,title,0.43341413140296936
Legislature_right,title,0.4323798418045044
Venue_right,title,0.4323614239692688
Device_right,title,0.4312995672225952
Reptile_left,title,0.43015894293785095
ShoppingMall_right,title,0.42999982833862305
Monarch_right,title,0.4298539161682129
Magazine_right,title,0.4291971027851105
Reptile_right,title,0.4288903474807739
