candidate_table,candidate_column,similarity_score
Award_right,title,0.582672655582428
RugbyLeague_right,title,0.4708586633205414
SportsLeague_right,title,0.46599315106868744
Race_right,title,0.46569569408893585
RugbyLeague_left,title,0.464826300740242
Wrestler_right,title,0.46116799116134644
Tournament_left,title,0.46057726442813873
Tournament_right,title,0.46029040217399597
SoccerLeague_left,title,0.4562201648950577
SoccerLeague_right,title,0.45382721722126007
Magazine_left,title,0.45356039702892303
Magazine_right,title,0.45303817093372345
TelevisionStation_right,title,0.4514875113964081
SportsLeague_left,title,0.45007750391960144
ArtificialSatellite_left,title,0.44724132120609283
MemberOfParliament_left,title,0.4470553398132324
GivenName_right,title,0.4456443637609482
Race_left,title,0.4453304558992386
Wrestler_left,title,0.44143740832805634
Song_left,title,0.44128163158893585
SoccerTournament_right,title,0.4405164420604706
FootballMatch_left,title,0.4404182881116867
Song_right,title,0.4392388314008713
TelevisionStation_left,title,0.4379499852657318
ChristianBishop_right,title,0.4378117173910141
GovernmentAgency_right,title,0.43770958483219147
GivenName_left,title,0.4375011920928955
Galaxy_right,title,0.4366803616285324
GovernmentAgency_left,title,0.43631356954574585
Noble_left,title,0.4360419511795044
Museum_left,title,0.43566885590553284
ShoppingMall_right,title,0.43562552332878113
Amphibian_right,title,0.43558192253112793
MemberOfParliament_right,title,0.4345289319753647
TennisTournament_right,title,0.4341132789850235
Drug_left,title,0.43403442203998566
Venue_right,title,0.4337507486343384
FootballLeagueSeason_left,title,0.4337069094181061
TennisTournament_left,title,0.4333520829677582
SoccerTournament_left,title,0.43318556249141693
Museum_right,title,0.4329310804605484
NationalFootballLeagueSeason_left,title,0.43252429366111755
Drug_right,title,0.4323691874742508
ArtificialSatellite_right,title,0.43180111050605774
Galaxy_left,title,0.4314187914133072
SportFacility_left,title,0.43114154040813446
EthnicGroup_left,title,0.4309191107749939
Stadium_left,title,0.43026357889175415
HistoricBuilding_left,title,0.42986056208610535
Venue_left,title,0.42938077449798584
