candidate_table,candidate_column,similarity_score
Case_left,title,0.7089285850524902
UnitOfWork_right,title,0.6689822673797607
Case_right,title,0.6689822673797607
GovernmentAgency_right,title,0.5022748112678528
GovernmentAgency_left,title,0.5016672015190125
Wrestler_right,title,0.49694666266441345
ChristianBishop_right,title,0.49674585461616516
ChristianBishop_left,title,0.4930129945278168
Race_right,title,0.4928906559944153
PoliticalParty_left,title,0.4862350523471832
Legislature_right,title,0.48511070013046265
Legislature_left,title,0.48452579975128174
MemberOfParliament_right,title,0.4834873676300049
Song_left,title,0.48134779930114746
Election_left,title,0.48110368847846985
TelevisionStation_right,title,0.4794042408466339
Election_right,title,0.47878286242485046
Magazine_right,title,0.47808897495269775
GivenName_left,title,0.4756753146648407
MemberOfParliament_left,title,0.47532936930656433
TelevisionStation_left,title,0.4747309386730194
Wrestler_left,title,0.47336673736572266
RugbyLeague_left,title,0.47300469875335693
Artwork_right,title,0.47133198380470276
Magazine_left,title,0.47035157680511475
SportFacility_left,title,0.4695618748664856
Artwork_left,title,0.4693688452243805
Country_left,title,0.4686970114707947
PoliticalParty_right,title,0.4685876667499542
RailwayLine_left,title,0.46851563453674316
Monarch_left,title,0.46817436814308167
SportFacility_right,title,0.4671076536178589
Race_left,title,0.4669032394886017
Award_left,title,0.4668959081172943
EthnicGroup_right,title,0.4658544361591339
BasketballTeam_right,title,0.4651871621608734
NaturalEvent_right,title,0.4644201695919037
Country_right,title,0.4635256230831146
ShoppingMall_right,title,0.46351301670074463
BasketballTeam_left,title,0.46316754817962646
Tournament_right,title,0.4631351828575134
Song_right,title,0.4630522131919861
SportsLeague_left,title,0.46274423599243164
Noble_left,title,0.46225669980049133
Stadium_right,title,0.46185824275016785
Noble_right,title,0.4618358612060547
Venue_left,title,0.4609537720680237
Drug_right,title,0.46066391468048096
Device_right,title,0.4603334665298462
RailwayLine_right,title,0.46003246307373047
