candidate_table,candidate_column,similarity_score
HistoricBuilding_right,title,0.6430807113647461
ClericalAdministrativeRegion_right,title,0.5647820234298706
ClericalAdministrativeRegion_left,title,0.561403214931488
ShoppingMall_right,title,0.5455632209777832
GivenName_right,title,0.5307194590568542
Hospital_right,title,0.5292752385139465
ShoppingMall_left,title,0.5289983153343201
Hospital_left,title,0.5259994864463806
ChristianBishop_right,title,0.5240301489830017
GivenName_left,title,0.5223912000656128
Country_right,title,0.5200095176696777
Wrestler_right,title,0.5192689299583435
Artwork_right,title,0.5191071033477783
Stadium_right,title,0.5184987187385559
Venue_left,title,0.5183122754096985
Wrestler_left,title,0.5177069902420044
Monarch_left,title,0.517448902130127
MemberOfParliament_left,title,0.517321765422821
EthnicGroup_right,title,0.5163533091545105
ChristianBishop_left,title,0.5162840485572815
EthnicGroup_left,title,0.5159775018692017
RailwayLine_left,title,0.5159321427345276
Country_left,title,0.5157263875007629
Stadium_left,title,0.5153367519378662
SportFacility_left,title,0.5146661400794983
RailwayLine_right,title,0.5141960382461548
Legislature_right,title,0.5140474438667297
SportFacility_right,title,0.5137583613395691
Venue_right,title,0.511742115020752
Noble_right,title,0.5116616487503052
RugbyLeague_left,title,0.5112316608428955
Legislature_left,title,0.5104296803474426
Museum_right,title,0.5103847980499268
Race_right,title,0.5101819634437561
Monarch_right,title,0.508940577507019
Museum_left,title,0.5076552629470825
MemberOfParliament_right,title,0.5069062113761902
PoliticalParty_left,title,0.5065566301345825
Reptile_left,title,0.5065450072288513
Tournament_left,title,0.5062543749809265
BasketballTeam_left,title,0.5057227611541748
BasketballTeam_right,title,0.5047227144241333
Song_left,title,0.5041935443878174
Reptile_right,title,0.5037029385566711
Amphibian_left,title,0.5036266446113586
SportsLeague_left,title,0.5034890174865723
Noble_left,title,0.5033136010169983
Artwork_left,title,0.5032579898834229
Race_left,title,0.5006791949272156
Device_right,title,0.5004194378852844
