candidate_table,candidate_column,similarity_score
Country_right,title,0.6182733774185181
EthnicGroup_right,title,0.5503808856010437
EthnicGroup_left,title,0.5442183017730713
Legislature_right,title,0.5416486263275146
GivenName_right,title,0.5344185829162598
GivenName_left,title,0.5331968069076538
Monarch_right,title,0.5316112041473389
Monarch_left,title,0.5260942578315735
Reptile_left,title,0.5237912535667419
Wrestler_right,title,0.5225067734718323
PoliticalParty_right,title,0.5223649740219116
PoliticalParty_left,title,0.5219433307647705
Legislature_left,title,0.5169064998626709
NaturalEvent_right,title,0.516846776008606
Reptile_right,title,0.5161988735198975
Amphibian_left,title,0.5157173871994019
SoccerLeague_left,title,0.5154805183410645
Wrestler_left,title,0.5149285793304443
Noble_left,title,0.512506902217865
RailwayLine_left,title,0.512389063835144
Amphibian_right,title,0.5105620622634888
ChristianBishop_left,title,0.5098565220832825
TelevisionStation_left,title,0.5096724033355713
BasketballTeam_right,title,0.5090665221214294
Race_right,title,0.5078378915786743
RailwayLine_right,title,0.5073323249816895
GovernmentAgency_left,title,0.507305920124054
SoccerLeague_right,title,0.5049082636833191
ChristianBishop_right,title,0.5046465396881104
TelevisionStation_right,title,0.5046431422233582
Race_left,title,0.5045416355133057
SportsLeague_left,title,0.5037915706634521
BasketballTeam_left,title,0.5032050013542175
SportsLeague_right,title,0.5028793811798096
MemberOfParliament_left,title,0.5028468370437622
Noble_right,title,0.5026651620864868
RugbyLeague_left,title,0.5018140077590942
Magazine_right,title,0.5010290145874023
ArtificialSatellite_left,title,0.5009921193122864
ShoppingMall_right,title,0.5004208087921143
Drug_right,title,0.4997466206550598
HistoricBuilding_left,title,0.4989670515060425
GovernmentAgency_right,title,0.4989556074142456
ArtificialSatellite_right,title,0.4989232122898102
Magazine_left,title,0.4977469742298126
Drug_left,title,0.49773621559143066
Song_left,title,0.49736928939819336
Device_right,title,0.49612587690353394
ShoppingMall_left,title,0.49603238701820374
ClericalAdministrativeRegion_left,title,0.4948280453681946
