candidate_table,candidate_column,similarity_score
GivenName_right,title,0.6697020530700684
GivenName_left,title,0.6665613651275635
Artwork_left,title,0.6136450171470642
Country_right,title,0.6039124131202698
Magazine_right,title,0.5984858870506287
EthnicGroup_right,title,0.5948572158813477
Noble_left,title,0.5840284824371338
Wrestler_right,title,0.583850622177124
Wrestler_left,title,0.583660900592804
Country_left,title,0.5800936222076416
ArtificialSatellite_left,title,0.5796226263046265
MemberOfParliament_right,title,0.5795063376426697
Monarch_right,title,0.5793781280517578
Monarch_left,title,0.5792636871337891
PoliticalParty_right,title,0.578941822052002
Noble_right,title,0.5780432820320129
SoccerLeague_right,title,0.5776085257530212
SportsLeague_right,title,0.5771946907043457
BasketballTeam_right,title,0.5762342810630798
EthnicGroup_left,title,0.5762023329734802
BasketballTeam_left,title,0.5741539001464844
TelevisionStation_right,title,0.5734602212905884
SoccerLeague_left,title,0.5725079774856567
SportsLeague_left,title,0.5724703669548035
TelevisionStation_left,title,0.5709485411643982
Magazine_left,title,0.5708775520324707
Race_right,title,0.5703437328338623
Amphibian_left,title,0.5699822306632996
RailwayLine_right,title,0.5696824193000793
Noble_right,id,0.569450318813324
Museum_right,title,0.5694431066513062
Venue_right,id,0.5683149099349976
Award_right,id,0.5683149099349976
UnitOfWork_right,id,0.5682498216629028
Case_right,id,0.5682498216629028
MotorsportSeason_right,id,0.568030834197998
Reptile_left,title,0.5678405165672302
Galaxy_left,title,0.5668869018554688
Race_left,title,0.5667819976806641
RugbyLeague_left,id,0.566731333732605
RailwayLine_left,title,0.5664446353912354
TennisTournament_left,id,0.5663723349571228
BasketballTeam_right,id,0.5661894679069519
ShoppingMall_left,title,0.5660970211029053
Race_right,id,0.5660930871963501
ClericalAdministrativeRegion_right,id,0.5659524202346802
MemberOfParliament_right,id,0.5657057166099548
Device_right,title,0.5656078457832336
Tournament_right,id,0.565531849861145
Legislature_right,id,0.5655183792114258
