candidate_table,candidate_column,similarity_score
SportFacility_right,title,0.6330468654632568
Stadium_right,title,0.6262927651405334
SportFacility_left,title,0.6226835250854492
Venue_right,title,0.6071770191192627
Stadium_left,title,0.6039085388183594
SoccerLeague_right,title,0.5972025394439697
SportsLeague_right,title,0.5843002796173096
Venue_left,title,0.5816448926925659
BasketballTeam_right,title,0.5785763263702393
RugbyLeague_left,title,0.5785306692123413
SoccerLeague_left,title,0.5777327418327332
Race_right,title,0.569607138633728
ShoppingMall_right,title,0.5612452030181885
ShoppingMall_left,title,0.5608452558517456
RugbyLeague_right,title,0.5560722351074219
RailwayLine_right,title,0.5551432967185974
SportsLeague_left,title,0.5522533655166626
Museum_right,title,0.5504517555236816
Tournament_right,title,0.5495326519012451
FootballLeagueSeason_right,title,0.5494604110717773
RailwayLine_left,title,0.5479774475097656
TelevisionStation_right,title,0.5426923036575317
Race_left,title,0.5388950109481812
Magazine_right,title,0.5378332138061523
BasketballTeam_left,title,0.5371960401535034
Country_left,title,0.5367171764373779
Country_right,title,0.5364004373550415
Museum_left,title,0.5356210470199585
FootballLeagueSeason_left,title,0.5353003740310669
FootballMatch_left,title,0.5352209806442261
Tournament_left,title,0.5342268943786621
GivenName_right,title,0.5341806411743164
Artwork_left,title,0.5335861444473267
GovernmentAgency_right,title,0.5332077741622925
TelevisionStation_left,title,0.5331004858016968
Hospital_left,title,0.5298689603805542
Wrestler_right,title,0.5292613506317139
SoccerTournament_right,title,0.5259613990783691
Magazine_left,title,0.5249233841896057
PoliticalParty_right,title,0.5247119665145874
HistoricBuilding_left,title,0.5241560935974121
ArtificialSatellite_left,title,0.5240718722343445
EthnicGroup_right,title,0.5237554311752319
SoccerClubSeason_left,title,0.5229727029800415
Monarch_right,title,0.5216233134269714
SoccerTournament_left,title,0.5212627649307251
Artwork_right,title,0.5212239027023315
EthnicGroup_left,title,0.5210184454917908
GivenName_left,title,0.5209426283836365
Drug_right,title,0.5199064016342163
