candidate_table,candidate_column,similarity_score
Award_right,title,0.5719828009605408
RugbyLeague_left,title,0.46380963921546936
SportsLeague_left,title,0.454486221075058
Race_right,title,0.45444008708000183
TelevisionStation_right,title,0.4538322389125824
Tournament_left,title,0.45256656408309937
SportsLeague_right,title,0.4518734812736511
Tournament_right,title,0.45072999596595764
TelevisionStation_left,title,0.4499804377555847
MemberOfParliament_left,title,0.44894856214523315
Race_left,title,0.44869497418403625
Magazine_right,title,0.4478839039802551
Wrestler_right,title,0.44520941376686096
Magazine_left,title,0.4448683261871338
SoccerLeague_left,title,0.4439540505409241
Museum_right,title,0.43971186876296997
Wrestler_left,title,0.43690499663352966
SoccerLeague_right,title,0.43641501665115356
Venue_left,title,0.4356811046600342
RugbyLeague_right,title,0.4335705041885376
ChristianBishop_left,title,0.4334738254547119
Museum_left,title,0.4316708445549011
SportFacility_left,title,0.43063992261886597
Song_left,title,0.43045109510421753
MemberOfParliament_right,title,0.4299727976322174
GovernmentAgency_right,title,0.4292185306549072
GovernmentAgency_left,title,0.428764671087265
Venue_right,title,0.4284898638725281
PoliticalParty_left,title,0.4283406436443329
ChristianBishop_right,title,0.42789509892463684
PoliticalParty_right,title,0.42745810747146606
ArtificialSatellite_left,title,0.4271632134914398
Stadium_left,title,0.42695799469947815
Song_right,title,0.42611297965049744
SoccerTournament_left,title,0.42596760392189026
GivenName_left,title,0.42595404386520386
FootballMatch_left,title,0.42516714334487915
BasketballTeam_right,title,0.4250846207141876
BasketballTeam_left,title,0.4240550994873047
Noble_left,title,0.423695832490921
Artwork_left,title,0.42327338457107544
SportFacility_right,title,0.4221554398536682
FootballLeagueSeason_left,title,0.42134788632392883
Device_left,title,0.41955891251564026
Noble_right,title,0.4188159108161926
GivenName_right,title,0.41861772537231445
RailwayLine_left,title,0.41847604513168335
Stadium_right,title,0.418084055185318
TennisTournament_left,title,0.41793203353881836
Monarch_left,title,0.41602903604507446
