candidate_table,candidate_column,similarity_score
Museum_right,title,0.5254377871751785
ShoppingMall_right,title,0.48273372650146484
HistoricBuilding_left,title,0.47569796442985535
RailwayLine_left,title,0.47507093846797943
Hospital_left,title,0.47452104091644287
Stadium_left,title,0.47358663380146027
Hospital_right,title,0.4717269092798233
ShoppingMall_left,title,0.47124774754047394
Award_right,title,0.4694567173719406
Tournament_left,title,0.4693160504102707
ArtificialSatellite_left,title,0.46797627210617065
RailwayLine_right,title,0.46721051633358
Venue_right,title,0.4671545922756195
Venue_left,title,0.46628835797309875
Race_right,title,0.46504852175712585
Magazine_right,title,0.46479152143001556
GivenName_right,title,0.4646516740322113
Amphibian_right,title,0.46454620361328125
Galaxy_left,title,0.46294645965099335
GovernmentAgency_left,title,0.46232597529888153
Artwork_right,title,0.4617546796798706
Amphibian_left,title,0.4612371027469635
RugbyLeague_left,title,0.46095824241638184
Stadium_right,title,0.46043048799037933
Country_right,title,0.4603585749864578
Wrestler_right,title,0.46011783182621
SportsLeague_left,title,0.4600946307182312
EthnicGroup_left,title,0.4600847214460373
Song_left,title,0.45972001552581787
Reptile_left,title,0.45969581604003906
Country_left,title,0.45952363312244415
Tournament_right,title,0.4593898355960846
SoccerLeague_left,title,0.45921744406223297
BasketballTeam_left,title,0.45895224809646606
ArtificialSatellite_right,title,0.45873817801475525
TennisTournament_left,id,0.4585898071527481
SoccerTournament_right,id,0.4584662765264511
Country_right,id,0.4584662765264511
FootballLeagueSeason_right,id,0.4581229090690613
Magazine_left,title,0.4579366445541382
Magazine_right,id,0.4579218775033951
Reptile_right,title,0.457452654838562
BasketballTeam_right,title,0.457400381565094
SportsLeague_right,title,0.4566267132759094
ShoppingMall_left,id,0.456585630774498
ShoppingMall_right,id,0.4564937800168991
Enzyme_right,id,0.45636676251888275
Legislature_right,id,0.4563419818878174
Award_left,title,0.45622245967388153
RailwayLine_right,id,0.45614583790302277
