candidate_table,candidate_column,similarity_score
RugbyLeague_left,title,0.7362833619117737
SoccerLeague_left,title,0.727464497089386
SoccerLeague_right,title,0.7067577838897705
SportsLeague_right,title,0.6826541423797607
RugbyLeague_right,title,0.6744701862335205
Tournament_right,title,0.5923342704772949
FootballLeagueSeason_right,title,0.5920342803001404
SoccerTournament_right,title,0.5910161733627319
FootballLeagueSeason_left,title,0.5820418000221252
SoccerTournament_left,title,0.5780174136161804
BasketballTeam_right,title,0.5736916065216064
Race_right,title,0.5712158679962158
Tournament_left,title,0.5704654455184937
FootballMatch_left,title,0.5642483234405518
SoccerClubSeason_right,title,0.5593482255935669
NationalFootballLeagueSeason_right,id,0.5509363412857056
SoccerClubSeason_left,title,0.5502659678459167
RailwayLine_right,title,0.5501601099967957
TelevisionStation_left,title,0.5500423312187195
Galaxy_right,id,0.5498189330101013
Award_right,title,0.5488789677619934
NationalFootballLeagueSeason_right,title,0.5488209128379822
RailwayLine_left,title,0.5479459166526794
TennisTournament_left,title,0.5474148988723755
TennisTournament_right,title,0.5465812683105469
Venue_right,title,0.5463717579841614
MotorsportSeason_right,title,0.5461417436599731
MotorsportSeason_left,title,0.5459235310554504
TelevisionStation_right,title,0.5448319911956787
FootballMatch_right,title,0.5447850227355957
Stadium_right,title,0.5446590185165405
BasketballTeam_left,title,0.5436838865280151
SportFacility_right,title,0.5422974228858948
EthnicGroup_right,title,0.5418746471405029
PoliticalParty_right,title,0.5418387651443481
Race_left,title,0.5415471792221069
Country_right,title,0.5415318608283997
Country_left,title,0.5410169959068298
PoliticalParty_left,title,0.5393706560134888
NationalFootballLeagueSeason_left,title,0.5378153920173645
Award_left,title,0.5364503860473633
ArtificialSatellite_left,title,0.5359686017036438
ShoppingMall_right,title,0.5347847938537598
Song_left,title,0.5341859459877014
Stadium_left,title,0.5334257483482361
GivenName_right,title,0.5330985188484192
Legislature_right,title,0.5328041911125183
Magazine_left,title,0.5321180820465088
Reptile_left,title,0.5309740900993347
SoccerClubSeason_right,id,0.5309127569198608
