candidate_table,candidate_column,similarity_score
GovernmentAgency_right,title,0.5862322456646053
Legislature_right,title,0.5063753106019003
Legislature_left,title,0.5047143842731351
TelevisionStation_left,title,0.4917586138414196
Country_left,title,0.4869011864160849
Magazine_left,title,0.48145252591936116
PoliticalParty_right,title,0.48102710870013343
PoliticalParty_left,title,0.4801235844088965
Country_right,title,0.47838000187344726
Magazine_right,title,0.47817245242252227
RailwayLine_left,title,0.47581121468620763
Hospital_left,title,0.47451971065952014
RailwayLine_right,title,0.4720389802176125
Hospital_right,title,0.4702512263661695
TelevisionStation_right,title,0.46964196500934
EthnicGroup_right,title,0.46903092175145716
Museum_left,title,0.4680223010244491
EthnicGroup_left,title,0.46567084346774784
ArtificialSatellite_left,title,0.46525946536728846
SportsLeague_left,title,0.461246619935993
Stadium_left,title,0.4603570213428145
Venue_left,title,0.4586541166630734
Race_left,title,0.45853204943430415
RugbyLeague_left,title,0.4577926760393465
Museum_right,title,0.4576330277370216
SportsLeague_right,title,0.45730250918059895
SportFacility_left,title,0.4569305073039496
SoccerLeague_left,title,0.4568685549472542
BasketballTeam_left,title,0.45679041734054393
Drug_right,title,0.4563751518060494
Tournament_left,title,0.45634498462992745
Drug_left,title,0.4555788903510311
Race_right,title,0.4537242101815833
Device_left,title,0.4531030569386663
Device_right,title,0.4527862603743761
Award_left,title,0.4526183927565143
ShoppingMall_right,title,0.45143596066419817
BasketballTeam_right,title,0.451142540090432
Award_right,title,0.450919752750512
Song_left,title,0.4501655122600304
Artwork_left,title,0.4494668543465725
ArtificialSatellite_right,title,0.4494048559627302
Stadium_right,title,0.44907849062841837
GivenName_left,title,0.4488385740819858
SportFacility_right,title,0.4487244794011454
SoccerLeague_right,title,0.44856760121359673
HistoricBuilding_left,title,0.44653654358311223
UnitOfWork_left,title,0.44528318861649646
Venue_right,title,0.44510858777417334
ShoppingMall_left,title,0.44485865927386503
