candidate_table,candidate_column,similarity_score
Venue_right,title,0.534286618232727
Stadium_right,title,0.5325696468353271
SportFacility_right,title,0.5289446711540222
Venue_left,title,0.5225988030433655
SportFacility_left,title,0.5089030861854553
Stadium_left,title,0.5069323778152466
ShoppingMall_right,title,0.4842846393585205
Tournament_left,title,0.48024222254753113
ShoppingMall_left,title,0.4783453047275543
BasketballTeam_left,title,0.4773796498775482
BasketballTeam_right,title,0.47609639167785645
SoccerLeague_left,title,0.47357961535453796
GovernmentAgency_right,title,0.473283588886261
TelevisionStation_left,title,0.4720916152000427
Magazine_left,title,0.47185829281806946
RugbyLeague_left,title,0.4710380434989929
Museum_left,title,0.47096437215805054
Hospital_left,title,0.4704286754131317
SportsLeague_right,title,0.4696262776851654
SoccerLeague_right,title,0.4690757095813751
RailwayLine_left,title,0.4675467610359192
Museum_right,title,0.46670642495155334
SportsLeague_left,title,0.46527335047721863
Tournament_right,title,0.4647665023803711
Race_left,title,0.4644922912120819
TelevisionStation_right,title,0.46420231461524963
Wrestler_right,title,0.4635356664657593
RailwayLine_right,title,0.4621565639972687
Wrestler_left,title,0.4595341682434082
Race_right,title,0.45896846055984497
HistoricBuilding_left,title,0.4588576555252075
Song_left,title,0.4588530361652374
Hospital_right,title,0.4586557149887085
MemberOfParliament_left,title,0.4575175940990448
ChristianBishop_left,title,0.4559010863304138
Country_left,title,0.4557059705257416
GovernmentAgency_left,title,0.45519667863845825
Award_left,title,0.4545467793941498
Artwork_left,title,0.45437824726104736
HistoricBuilding_right,title,0.4516493082046509
EthnicGroup_left,title,0.45090803503990173
GivenName_left,title,0.4498169720172882
Magazine_right,title,0.44907087087631226
FootballLeagueSeason_left,title,0.4475073218345642
EthnicGroup_right,title,0.44698458909988403
PoliticalParty_left,title,0.4467419683933258
ChristianBishop_right,title,0.44620761275291443
Noble_left,title,0.44541648030281067
MemberOfParliament_right,title,0.4453190267086029
FootballMatch_left,title,0.44425874948501587
