candidate_table,candidate_column,similarity_score
ClericalAdministrativeRegion_right,title,0.6103070104470277
HistoricBuilding_right,title,0.5059263871051853
HistoricBuilding_left,title,0.4779482850065784
Legislature_left,title,0.4704640740505826
ChristianBishop_left,title,0.46299250995122554
Legislature_right,title,0.45548098285809674
Country_right,title,0.45313742097248316
Country_left,title,0.4471302106067247
ChristianBishop_right,title,0.44582038012888553
TelevisionStation_right,title,0.4426517463366927
EthnicGroup_left,title,0.44162619324687585
EthnicGroup_right,title,0.4382916240764802
Reptile_right,title,0.43821157712486764
RailwayLine_left,title,0.43554899018900445
PoliticalParty_right,title,0.43488587851571
GivenName_left,title,0.43238664682803346
Hospital_right,title,0.4310938950780949
Monarch_left,title,0.42937914852578096
PoliticalParty_left,title,0.42883309139731396
Election_left,title,0.4287259251348722
BasketballTeam_right,title,0.4282277292258868
Reptile_left,title,0.42670081566658696
BasketballTeam_left,title,0.4258043672924129
Song_left,title,0.4250662746325813
Hospital_left,title,0.42465287479406666
Stadium_right,title,0.42460225300437715
NaturalEvent_left,title,0.4237669057515017
GovernmentAgency_left,title,0.42254795283213725
Stadium_left,title,0.4224989174467289
Amphibian_left,title,0.42220543832463425
ShoppingMall_left,title,0.421370218462092
GivenName_right,title,0.42108685030095855
ShoppingMall_right,title,0.42053195851183667
SportFacility_left,title,0.4196933022927813
Museum_right,title,0.41886006027449935
Drug_left,title,0.4170770375773394
Artwork_left,title,0.416936869489869
Artwork_right,title,0.41611887555803845
Noble_left,title,0.4157937479678884
Election_right,title,0.415625981956219
RailwayLine_right,title,0.415293411293123
FootballLeagueSeason_left,id,0.41435743830764643
GovernmentAgency_right,title,0.4141419047334921
Wrestler_left,title,0.4140481756573891
Amphibian_left,id,0.414045558664637
SportFacility_right,title,0.4139343746922177
GovernmentAgency_left,id,0.41385526488541613
Museum_left,id,0.41385526488541613
Enzyme_left,id,0.41372137034178463
Venue_left,title,0.41371531588482835
