candidate_table,candidate_column,similarity_score
Monarch_right,title,0.6484696269035339
GivenName_left,title,0.5755879282951355
Reptile_left,title,0.5697810053825378
EthnicGroup_right,title,0.5619627237319946
Amphibian_left,title,0.5596213936805725
GivenName_right,title,0.5570910573005676
Noble_right,title,0.5552537441253662
Reptile_right,title,0.5543548464775085
Amphibian_right,title,0.5540102124214172
Country_right,title,0.5530534982681274
Wrestler_left,title,0.5495379567146301
Country_left,title,0.5480459928512573
EthnicGroup_left,title,0.5464646220207214
Noble_left,title,0.5457748174667358
ChristianBishop_right,title,0.5452997088432312
Wrestler_right,title,0.5439928770065308
ChristianBishop_left,title,0.5409631133079529
Device_right,title,0.5407545566558838
BasketballTeam_right,title,0.5381032824516296
Drug_right,title,0.5372745990753174
Drug_left,title,0.535958468914032
ArtificialSatellite_left,title,0.5352665781974792
PoliticalParty_left,title,0.5352030992507935
Race_right,title,0.5339959263801575
Magazine_left,title,0.5338643193244934
Enzyme_left,title,0.5326918959617615
HistoricBuilding_left,title,0.5325331091880798
TelevisionStation_right,title,0.532050371170044
MemberOfParliament_left,title,0.5307032465934753
Award_left,title,0.5285394787788391
Song_left,title,0.5284740924835205
BasketballTeam_left,title,0.5283891558647156
RailwayLine_right,title,0.5276749730110168
MemberOfParliament_right,title,0.5274733901023865
RailwayLine_left,title,0.5268194079399109
Artwork_left,title,0.5267231464385986
Galaxy_left,title,0.5261169075965881
Magazine_right,title,0.5255599021911621
TelevisionStation_left,title,0.525107741355896
Enzyme_right,title,0.524497926235199
Race_left,title,0.5223857164382935
SoccerLeague_left,title,0.5221095085144043
Tournament_left,title,0.5217947363853455
Device_left,title,0.520769476890564
Song_right,title,0.5205807685852051
PoliticalParty_right,title,0.5193803310394287
Museum_right,title,0.5191347002983093
SportsLeague_left,title,0.5187994837760925
SportFacility_left,title,0.518762469291687
Artwork_right,title,0.5187003016471863
