query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
UnitOfWork_left.csv,title,united states v. hayes,MemberOfParliament_right,title,john henry hayes,0.6832617521286011
UnitOfWork_left.csv,title,united states v. hudson,MemberOfParliament_right,title,james hudson (politician),0.6773936748504639
UnitOfWork_left.csv,title,abbott v. united states,MemberOfParliament_right,title,richard abbott (australian politician),0.6464366912841797
UnitOfWork_left.csv,title,watson v. jones,MemberOfParliament_right,title,david watson (australian politician),0.645888090133667
UnitOfWork_left.csv,title,gray v. sanders,MemberOfParliament_right,title,darryl l. gray,0.644723653793335
UnitOfWork_left.csv,title,m.l.b. v. s.l.j.,MemberOfParliament_right,title,m. c. ahamed,0.6402479410171509
UnitOfWork_left.csv,title,wesberry v. sanders,MemberOfParliament_right,title,william sanders (politician),0.6338940262794495
UnitOfWork_left.csv,title,williams v. lee,MemberOfParliament_right,title,william lee martin,0.6251227855682373
UnitOfWork_left.csv,title,paul v. virginia,MemberOfParliament_right,title,john thomas paul,0.6244113445281982
UnitOfWork_left.csv,title,ng fung ho v. white,MemberOfParliament_right,title,lee siew choh,0.624092698097229
UnitOfWork_left.csv,title,perry v. new hampshire,MemberOfParliament_right,title,george perry (british politician),0.6206854581832886
UnitOfWork_left.csv,title,robertson v. united states,MemberOfParliament_right,title,john robertson (politician born 1875),0.6199691295623779
UnitOfWork_left.csv,title,shuttlesworth v. birmingham,MemberOfParliament_right,title,william carter (mansfield mp),0.6189196705818176
UnitOfWork_left.csv,title,goldwater v. carter,MemberOfParliament_right,title,raymond carter (politician),0.6119058132171631
UnitOfWork_left.csv,title,lucy v. adams,MemberOfParliament_right,title,lucy allan (politician),0.6117119193077087
UnitOfWork_left.csv,title,harlow v. fitzgerald,MemberOfParliament_right,title,gerard george fitzgerald,0.6103732585906982
UnitOfWork_left.csv,title,logan v. united states,MemberOfParliament_right,title,david logan (politician),0.6055004000663757
UnitOfWork_left.csv,title,powell v. texas,MemberOfParliament_right,title,william powell (conservative politician),0.5961095094680786
UnitOfWork_left.csv,title,owen v. city of independence,MemberOfParliament_right,title,stephen owen (politician),0.5952248573303223
UnitOfWork_left.csv,title,miller v. united states,MemberOfParliament_right,title,larry miller (canadian politician),0.5941511392593384
