candidate_table,candidate_column,similarity_score
SoccerLeague_right,title,0.6457325220108032
SportsLeague_right,title,0.5984560251235962
RugbyLeague_right,title,0.5685572326183319
SportsLeague_left,title,0.5671711564064026
RugbyLeague_left,title,0.5611067116260529
FootballLeagueSeason_right,title,0.546445369720459
FootballLeagueSeason_left,title,0.5221461951732635
SoccerTournament_left,title,0.5175799876451492
SoccerTournament_right,title,0.5173176825046539
Tournament_right,title,0.5160831809043884
SoccerClubSeason_right,title,0.5029900074005127
FootballMatch_left,title,0.5024572908878326
FootballMatch_right,title,0.5014758408069611
Race_right,title,0.49841198325157166
Tournament_left,title,0.49340319633483887
BasketballTeam_right,title,0.49174386262893677
TennisTournament_left,title,0.48651251196861267
PoliticalParty_right,title,0.4856973737478256
SoccerClubSeason_left,title,0.48372212052345276
TelevisionStation_right,title,0.4820805937051773
Stadium_right,title,0.48005475103855133
MotorsportSeason_left,title,0.4799664616584778
Country_right,title,0.4790789633989334
Magazine_left,title,0.4771282225847244
GovernmentAgency_right,title,0.47591422498226166
RailwayLine_left,title,0.47541674971580505
TennisTournament_right,title,0.47536899149417877
SportFacility_right,title,0.4747285395860672
Legislature_right,title,0.4746702015399933
Venue_right,title,0.4722016155719757
RailwayLine_right,title,0.471961185336113
Magazine_right,title,0.4698476940393448
PoliticalParty_left,title,0.4693366587162018
BasketballTeam_left,title,0.46757031977176666
Legislature_left,title,0.46756869554519653
Race_left,title,0.4669658690690994
Award_right,title,0.4669599235057831
EthnicGroup_right,title,0.4659520387649536
Venue_left,title,0.46560943126678467
TelevisionStation_left,title,0.4653678983449936
Country_left,title,0.46523381769657135
Award_left,title,0.4649389684200287
NationalFootballLeagueSeason_left,title,0.4648798257112503
SportFacility_left,title,0.46436625719070435
MotorsportSeason_right,title,0.4638621509075165
Stadium_left,title,0.46289633214473724
GivenName_right,title,0.4619966298341751
Wrestler_right,title,0.4602774530649185
ArtificialSatellite_left,title,0.4601674824953079
GovernmentAgency_left,title,0.46004751324653625
