query_table,query_value,candidate_table,candidate_value
amphibian_left,daly waters frog,amphibian_right,daly waters frog
enzyme_left,sulfite oxidase,enzyme_right,sulfhydrogenase
ethnicgroup_left,armenians in mexico,ethnicgroup_right,armenian immigration to mexico
basketballteam_left,al wahda damascus mens basketball team,basketballteam_right,al ittihad alexandria (basketball)
ethnicgroup_left,turkmen people,ethnicgroup_right,turkmens
song_left,friend of a friend (song),song_right,my friend
clericaladministrativeregion_left,diocese of ontario,clericaladministrativeregion_right,anglican diocese of ontario
song_left,wedding bells (song),song_right,wedding bells are breaking up that old gang of mine
basketballteam_left,societa veroli basket,basketballteam_right,universo treviso basket
enzyme_left,3-hydroxyisobutyrate dehydrogenase,enzyme_right,4-hydroxybutyrate dehydrogenase
award_left,latin grammy award for album of the year,award_right,grammy award for best latin rock/alternative album
reptile_left,common death adder,reptile_right,common death adder
legislature_left,national council (austria),legislature_right,federal council of austria
legislature_left,mauritanian parliament,legislature_right,parliament of mauritania
wrestler_left,barry orton,wrestler_right,bob orton jr.
soccertournament_left,2011 ofc u-17 championship,soccertournament_right,2013 ofc u-17 championship
race_left,sa derby,race_right,south australian derby
museum_left,museu nacional d'art de catalunya,museum_right,museo nacional de arte
drug_left,pivalylbenzhydrazine,drug_right,pivhydrazine
shoppingmall_left,auburn mall,shoppingmall_right,"auburn mall (auburn, alabama)"
tournament_left,1988 uefa european under-16 football championship,tournament_right,1987 uefa european under-16 championship
hospital_left,university of illinois medical center,hospital_right,university of illinois hospital & health sciences system
amphibian_left,rhacophorus bifasciatus,amphibian_right,rhacophorus dulitensis
country_left,colony of santiago (jamaica),country_right,colony of santiago
country_left,zhou dynasty,country_right,shang dynasty
rugbyleague_left,the rugby championship,rugbyleague_right,oceania rugby cup
basketballteam_left,bintulu rainbow bc,basketballteam_right,bintulu rainbow b.c.
rugbyleague_left,queensland rugby league central division,rugbyleague_right,division 1-a rugby
ncaateamseason_left,1997 oregon ducks football team,ncaateamseason_right,1974 oregon ducks football team
shoppingmall_left,lakeview square,shoppingmall_right,lakeview square mall
naturalevent_left,1932 ierissos earthquake,naturalevent_right,1932 jalisco earthquakes
museum_left,roman museum,museum_right,canterbury roman museum
christianbishop_left,michael hawkins (bishop),christianbishop_right,michael fisher (bishop)
artificialsatellite_left,kosmos 580,artificialsatellite_right,kosmos 605
galaxy_left,ngc 1365,galaxy_right,ngc 1265
enzyme_left,dehydrogluconate dehydrogenase,enzyme_right,l-2-hydroxyglutarate dehydrogenase
venue_left,stade victor boucquey,venue_right,stade henri-jooris
sportsleague_left,v.league (vietnam),sportsleague_right,v-league (vietnam)
election_left,"lambeth council election, 2006",election_right,"lambeth london borough council election, 2006"
soccerleague_left,f. league,soccerleague_right,f.league
sportsleague_left,central australian basketball league,sportsleague_right,queensland australian basketball league
televisionstation_left,oprah winfrey network (u.s. tv channel),televisionstation_right,oprah winfrey network
soccerclubseason_left,1999 australia national football team season,soccerclubseason_right,1999 australia national soccer team season
drug_left,dioctyl sodium sulfosuccinate,drug_right,suloctidil
drug_left,y-23684,drug_right,sb-258719
device_left,springfield model 1870,device_right,springfield model 1871
ncaateamseason_left,1927 alabama crimson tide football team,ncaateamseason_right,1899 alabama crimson white football team
legislature_left,senate (thailand),legislature_right,senate of thailand
railwayline_left,"line 6, shenzhen metro",railwayline_right,"line 9, shenzhen metro"
drug_left,ah-7921,drug_right,emd-386088
amphibian_left,large-spined bell toad,amphibian_right,large-spined bell toad
galaxy_left,ngc 2536,galaxy_right,ngc 1265
rugbyleague_left,rugby world cup,rugbyleague_right,world rugby nations cup
nationalfootballleagueseason_left,1974 detroit lions season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
legislature_left,national legislative assembly (south sudan),legislature_right,national legislative assembly of south sudan
ncaateamseason_left,1896 auburn tigers football team,ncaateamseason_right,1895 lsu football team
artificialsatellite_left,uosat-2,artificialsatellite_right,uosat-1
tennistournament_left,2009 carisap tennis cup,tennistournament_right,2010 blu-express.com tennis cup
country_left,dutch cape colony,country_right,cape colony
drug_left,para-iodoamphetamine,drug_right,ethylamphetamine
footballleagueseason_left,2010 j. league division 1,footballleagueseason_right,2011 j.league division 2
givenname_left,masanobu,givenname_right,junichi
sportfacility_left,spartak stadium (babruysk),sportfacility_right,spartak stadium (moscow)
soccerleague_left,slovak futsal extraliga,soccerleague_right,czech futsal first league
naturalevent_left,2008 sulawesi earthquake,naturalevent_right,2009 papua earthquakes
ncaateamseason_left,1925 alabama crimson tide football team,ncaateamseason_right,1897 alabama crimson white football team
enzyme_left,4-(hydroxymethyl)benzenesulfonate dehydrogenase,enzyme_right,4-cresol dehydrogenase (hydroxylating)
sportsleague_left,fivb world cup,sportsleague_right,fivb volleyball world grand champions cup
galaxy_left,ngc 1410,galaxy_right,ngc 1265
sportsleague_left,third macedonian football league,sportsleague_right,macedonian first football league
naturalevent_left,1896 meiji-sanriku earthquake,naturalevent_right,1894 tokyo earthquake
motorsportseason_left,2010 world series by renault season,motorsportseason_right,2010 world series by renault
nationalfootballleagueseason_left,1911 akron indians season,nationalfootballleagueseason_right,1912 canton professionals season
race_left,ft. lauderdale stakes,race_right,fort lauderdale stakes
naturalevent_left,1611 keicho sanriku earthquake,naturalevent_right,1611 sanriku earthquake
memberofparliament_left,george stevenson (british politician),memberofparliament_right,john stevenson (uk politician)
legislature_left,national assembly (bahrain),legislature_right,national assembly of bahrain
unitofwork_left,"wabash, st. louis & pacific railway company v. illinois",unitofwork_right,illinois central railroad co. v. illinois
ethnicgroup_left,samoan american,ethnicgroup_right,samoan americans
enzyme_left,pyrimidine-nucleoside phosphorylase,enzyme_right,nucleotide pyrophosphatase/phosphodiesterase
artificialsatellite_left,kosmos 1367,artificialsatellite_right,kosmos 1667
footballleagueseason_left,2002 ukrainian football amateur league,footballleagueseason_right,ukrainian football amateur league 2001
