candidate_table,candidate_column,similarity_score
MemberOfParliament_right,title,0.5574853628098286
Wrestler_right,title,0.5231610917529694
ChristianBishop_right,title,0.5157420100608623
Wrestler_left,title,0.5072978459557853
ChristianBishop_left,title,0.49961945887829506
GivenName_left,title,0.49053718571140986
Noble_left,title,0.48908519184691707
GivenName_right,title,0.4860322934952553
Noble_right,title,0.48568342016970206
Monarch_left,title,0.48062809360622216
Race_right,title,0.4755488269530131
EthnicGroup_right,title,0.47016265091567255
Monarch_right,title,0.46695527040517426
EthnicGroup_left,title,0.4664526999922116
Stadium_left,title,0.465984116430449
Race_left,title,0.4658439675483643
SportFacility_left,title,0.4657095579682479
RailwayLine_left,title,0.4651033807694657
Award_right,title,0.46495299127327405
Tournament_left,title,0.46482261316281986
TelevisionStation_left,title,0.46465645565230274
Song_left,title,0.46457849522913125
Artwork_left,title,0.46400169500653937
BasketballTeam_left,title,0.4637710001883426
BasketballTeam_right,title,0.4626438259312316
Reptile_left,title,0.46072023040574855
RugbyLeague_left,title,0.4596071021088446
Magazine_left,title,0.45957799521401893
Award_left,title,0.45916392518251986
PoliticalParty_left,title,0.45893607594582764
Country_left,title,0.4587113268889127
HistoricBuilding_left,title,0.45856483989216595
SportFacility_right,title,0.4579273257908946
Venue_left,title,0.4576462983047242
Reptile_right,title,0.45735749992884595
SportsLeague_left,title,0.45629459827786667
ShoppingMall_right,title,0.4562876127119646
Museum_left,title,0.45616973356032364
Drug_right,title,0.4554552117535016
Stadium_right,title,0.454698700427059
Magazine_right,title,0.4545722941560333
RailwayLine_right,title,0.45412546940682547
Device_right,title,0.45385191353825927
Venue_right,title,0.453214021971978
PoliticalParty_right,title,0.4531019222069508
Country_right,title,0.4525112565533583
TelevisionStation_right,title,0.4523919432907363
Artwork_right,title,0.45204367619333036
Drug_left,title,0.4520403181230424
Legislature_left,title,0.45181296961024825
