candidate_table,candidate_column,similarity_score
Stadium_right,title,0.5874733924865723
SportFacility_left,title,0.5868740677833557
SportFacility_right,title,0.5763224959373474
Venue_right,title,0.5530457496643066
ShoppingMall_right,title,0.5521349906921387
ShoppingMall_left,title,0.5498052835464478
SoccerLeague_right,title,0.5317161083221436
Venue_left,title,0.5300715565681458
Race_right,title,0.5293135643005371
RugbyLeague_left,title,0.5269342064857483
SportsLeague_right,title,0.5245835185050964
RailwayLine_left,title,0.5234551429748535
BasketballTeam_left,title,0.5212885737419128
BasketballTeam_right,title,0.5212880969047546
RailwayLine_right,title,0.5210215449333191
SoccerLeague_left,title,0.5208368301391602
Wrestler_right,title,0.5208325982093811
SportsLeague_left,title,0.5182499289512634
RugbyLeague_right,title,0.5174272656440735
Hospital_left,title,0.5128991603851318
Tournament_left,title,0.512428879737854
Race_left,title,0.5117645263671875
Wrestler_left,title,0.5100560188293457
Tournament_right,title,0.5092164278030396
Hospital_right,title,0.5090799927711487
GivenName_left,title,0.5087801218032837
NationalFootballLeagueSeason_left,title,0.5086886286735535
EthnicGroup_right,title,0.5083286762237549
TelevisionStation_right,title,0.5079498887062073
TelevisionStation_left,title,0.5078057646751404
Reptile_right,title,0.5068709254264832
Reptile_left,title,0.5067169666290283
Museum_left,title,0.5067007541656494
Museum_right,title,0.5034128427505493
GivenName_right,title,0.5012139678001404
Magazine_left,title,0.5012055039405823
NCAATeamSeason_left,title,0.5011090040206909
MemberOfParliament_left,title,0.5008418560028076
EthnicGroup_left,title,0.5007804036140442
NaturalEvent_right,title,0.5005900859832764
Country_left,title,0.49995627999305725
MemberOfParliament_right,title,0.4992503523826599
HistoricBuilding_left,title,0.49840933084487915
Device_right,title,0.49782025814056396
ArtificialSatellite_left,title,0.497492253780365
ChristianBishop_right,title,0.49631309509277344
Amphibian_left,title,0.495266854763031
ArtificialSatellite_right,title,0.49480095505714417
SoccerClubSeason_left,title,0.49471020698547363
Magazine_right,title,0.4938722252845764
