candidate_table,candidate_column,similarity_score
Case_left,title,0.5575010180473328
UnitOfWork_right,title,0.557036280632019
Case_right,title,0.557036280632019
GovernmentAgency_left,title,0.4302280843257904
ChristianBishop_left,title,0.42717528343200684
Election_right,title,0.42434263229370117
GovernmentAgency_right,title,0.42387646436691284
Legislature_left,title,0.4225432723760605
Election_left,title,0.4190673828125
Race_right,title,0.4162232130765915
Artwork_left,title,0.4140745997428894
ChristianBishop_right,title,0.41221216320991516
Wrestler_right,title,0.41211728751659393
Wrestler_left,title,0.41127094626426697
Award_right,title,0.4101739674806595
Magazine_left,title,0.40977928042411804
Song_left,title,0.4096260964870453
Tournament_left,title,0.408282533288002
MemberOfParliament_right,title,0.404981404542923
PoliticalParty_right,title,0.4045306146144867
RailwayLine_left,title,0.403927206993103
RugbyLeague_left,title,0.40339410305023193
PoliticalParty_left,title,0.39948785305023193
BasketballTeam_left,title,0.3991732895374298
TelevisionStation_left,title,0.39916151762008667
Country_left,title,0.3987777680158615
MemberOfParliament_left,title,0.39768531918525696
Magazine_right,title,0.3972209095954895
GivenName_left,title,0.39627981185913086
Song_right,title,0.39590534567832947
SportFacility_left,title,0.3935791254043579
Race_left,title,0.3933832049369812
Device_right,title,0.3932398557662964
Monarch_right,title,0.3925575017929077
Stadium_left,title,0.39249780774116516
Award_left,title,0.3922065645456314
Tournament_right,title,0.3918178677558899
Museum_left,title,0.39119935035705566
ArtificialSatellite_left,title,0.39115963876247406
Artwork_right,title,0.3910503089427948
Drug_right,title,0.3909550905227661
SportsLeague_left,title,0.3909468650817871
Legislature_right,title,0.3900955319404602
Drug_left,title,0.38954921066761017
Country_right,title,0.3883780241012573
GivenName_right,title,0.3883049637079239
NaturalEvent_left,title,0.38754674792289734
ShoppingMall_right,title,0.38746707141399384
NationalFootballLeagueSeason_left,title,0.3873097896575928
Monarch_left,title,0.3867519646883011
