candidate_table,candidate_column,similarity_score
Race_right,title,0.638763427734375
RugbyLeague_left,title,0.5479897260665894
RugbyLeague_right,title,0.5380364060401917
Tournament_right,title,0.5360120534896851
SportsLeague_right,title,0.5351656675338745
SportsLeague_left,title,0.5298352241516113
SoccerLeague_right,title,0.5291973948478699
RailwayLine_right,title,0.5256183743476868
Tournament_left,title,0.5245481133460999
SoccerLeague_left,title,0.5210267901420593
TennisTournament_right,title,0.5194572806358337
Wrestler_right,title,0.5192227959632874
RailwayLine_left,title,0.5173605680465698
Award_right,title,0.5150421857833862
BasketballTeam_right,title,0.5113054513931274
ShoppingMall_right,title,0.5104449987411499
TennisTournament_left,title,0.5104036331176758
MotorsportSeason_right,title,0.5098953247070312
Reptile_left,title,0.5095741748809814
BasketballTeam_left,title,0.5072821378707886
Wrestler_left,title,0.5055444240570068
TelevisionStation_left,title,0.5049118399620056
ShoppingMall_left,title,0.5046898722648621
Reptile_right,title,0.5041697025299072
SportFacility_right,title,0.502509593963623
GivenName_left,title,0.5021052360534668
Stadium_right,title,0.502023458480835
Venue_left,title,0.5017092227935791
GivenName_right,title,0.5014720559120178
Magazine_left,title,0.5013038516044617
Device_right,title,0.5012125968933105
SoccerTournament_left,title,0.5003677606582642
Song_left,title,0.5001707077026367
EthnicGroup_left,title,0.49996811151504517
Award_left,title,0.4999464452266693
MemberOfParliament_left,title,0.4996410012245178
EthnicGroup_right,title,0.4995676577091217
ArtificialSatellite_left,title,0.49949830770492554
MotorsportSeason_left,title,0.4992256164550781
SportFacility_left,title,0.4991764724254608
Venue_right,title,0.49904048442840576
Magazine_right,title,0.49894872307777405
Stadium_left,title,0.49637672305107117
Country_right,title,0.49625322222709656
TelevisionStation_right,title,0.49622824788093567
Country_left,title,0.49600327014923096
Noble_left,title,0.49386876821517944
Artwork_left,title,0.4932451546192169
Artwork_right,title,0.492595374584198
Monarch_left,title,0.49077108502388
