candidate_table,candidate_column,similarity_score
RugbyLeague_right,title,0.6378294273247986
SportsLeague_left,title,0.5933042038591738
SportsLeague_right,title,0.5807588685774789
SoccerLeague_right,title,0.5767348795228359
SoccerLeague_left,title,0.5591915895864326
Tournament_right,title,0.5211561376447107
Race_right,title,0.5104736389031496
Tournament_left,title,0.5091919120527693
RailwayLine_right,title,0.497801006636949
SoccerTournament_left,title,0.49667138986179865
BasketballTeam_right,title,0.4958349713903105
RailwayLine_left,title,0.4922176567645864
FootballMatch_left,title,0.49184516588400046
TennisTournament_left,title,0.489642112058163
Race_left,title,0.4878616891184196
BasketballTeam_left,title,0.4876060957242935
SoccerTournament_right,title,0.4865157502875221
TelevisionStation_left,title,0.4864737293906433
Award_left,title,0.4858984997756694
TelevisionStation_right,title,0.4857510466238899
ShoppingMall_right,title,0.48540084074329776
FootballLeagueSeason_left,title,0.4852030146123343
Stadium_right,title,0.48515315338631404
SportFacility_right,title,0.48476568750175014
FootballLeagueSeason_right,title,0.4833182701654587
Venue_right,title,0.481596079541595
Award_right,title,0.47994874263733533
PoliticalParty_left,title,0.47908599120125067
ArtificialSatellite_left,title,0.47815930101794185
Country_left,title,0.4766886876901004
SportFacility_left,title,0.4766847479990523
Stadium_left,title,0.47654123427510026
Wrestler_right,title,0.47645148851655633
ShoppingMall_left,title,0.47643816833188296
Magazine_left,title,0.47582830778162527
PoliticalParty_right,title,0.4749477897070655
Magazine_right,title,0.4744630037737272
Venue_left,title,0.4737963229627078
GovernmentAgency_right,title,0.4729785742808655
EthnicGroup_right,title,0.4728081773731851
MemberOfParliament_left,title,0.4718959417329729
NationalFootballLeagueSeason_left,title,0.47183924893346907
Song_left,title,0.47146853404217004
MotorsportSeason_left,title,0.4693839297802493
Country_right,title,0.4689285904661708
GovernmentAgency_left,title,0.4681981617867228
Legislature_left,title,0.46813834486051065
Hospital_left,title,0.4670155947941709
EthnicGroup_left,title,0.4656272596624529
Wrestler_left,title,0.465519912086209
