candidate_table,candidate_column,similarity_score
RailwayLine_right,title,0.698635995388031
RailwayLine_left,title,0.6776516437530518
GovernmentAgency_right,title,0.5898005962371826
Magazine_left,title,0.5846250057220459
SoccerLeague_right,title,0.5841764807701111
TelevisionStation_left,title,0.5819357633590698
BasketballTeam_right,title,0.5741754770278931
Magazine_right,title,0.565143883228302
SportsLeague_right,title,0.5650290250778198
ShoppingMall_right,title,0.560573935508728
Artwork_left,title,0.558432936668396
ArtificialSatellite_left,title,0.5570793747901917
Stadium_right,title,0.5562608242034912
RugbyLeague_left,title,0.5539075136184692
SportFacility_right,title,0.5524855256080627
Race_right,title,0.5500572323799133
SoccerLeague_left,title,0.5500396490097046
RugbyLeague_right,title,0.5493100881576538
SportsLeague_left,title,0.5487995147705078
ShoppingMall_left,title,0.5453811883926392
TelevisionStation_right,title,0.5445184707641602
Race_left,title,0.5401573777198792
GivenName_right,title,0.5393979549407959
Museum_right,title,0.5384714007377625
Country_right,title,0.5363810658454895
Device_right,title,0.5350820422172546
Museum_left,title,0.5349979400634766
ArtificialSatellite_right,title,0.5346929430961609
BasketballTeam_left,title,0.5334807634353638
EthnicGroup_right,title,0.5318291187286377
Artwork_right,title,0.5306053161621094
Venue_right,title,0.5288854837417603
PoliticalParty_right,title,0.5284765958786011
Tournament_left,title,0.5278029441833496
SportFacility_left,title,0.5277411937713623
Tournament_right,title,0.5268480777740479
Venue_left,title,0.5252003073692322
Legislature_left,title,0.5240386128425598
FootballLeagueSeason_left,title,0.5234171748161316
Stadium_left,title,0.5232690572738647
FootballLeagueSeason_right,title,0.5221742391586304
Wrestler_right,title,0.5214975476264954
Monarch_right,title,0.5214389562606812
Song_right,title,0.5213568210601807
GivenName_left,title,0.5211657285690308
EthnicGroup_left,title,0.5207540988922119
GovernmentAgency_left,title,0.5193206071853638
Galaxy_left,title,0.5164510607719421
Award_left,title,0.5157889127731323
SoccerClubSeason_left,title,0.5156481862068176
