candidate_table,candidate_column,similarity_score
ChristianBishop_right,title,0.578965961933136
MemberOfParliament_left,title,0.5376971960067749
MemberOfParliament_right,title,0.5355250835418701
Wrestler_right,title,0.5347414016723633
Wrestler_left,title,0.5242605805397034
GivenName_left,title,0.5233683586120605
GivenName_right,title,0.5203392505645752
Noble_left,title,0.519180417060852
Noble_right,title,0.5169309973716736
Monarch_left,title,0.5159450769424438
Monarch_right,title,0.5082780718803406
EthnicGroup_right,title,0.5065268278121948
Race_right,title,0.5057770013809204
Country_right,title,0.5007585287094116
Reptile_left,title,0.4990924000740051
Reptile_right,title,0.49673646688461304
EthnicGroup_left,title,0.4953150153160095
Drug_right,title,0.4952431321144104
Amphibian_left,title,0.4949071407318115
Country_left,title,0.4919307231903076
Race_left,title,0.4904288947582245
Drug_left,title,0.4902721643447876
BasketballTeam_right,title,0.48915454745292664
Artwork_right,title,0.48749980330467224
BasketballTeam_left,title,0.48720937967300415
HistoricBuilding_left,title,0.4868651032447815
Artwork_left,title,0.48647040128707886
ShoppingMall_right,title,0.48599159717559814
TelevisionStation_left,title,0.48582521080970764
Amphibian_right,title,0.48552873730659485
SportFacility_left,title,0.4852927625179291
RailwayLine_left,title,0.4849364459514618
Stadium_left,title,0.48378074169158936
ArtificialSatellite_left,title,0.4833371639251709
Song_left,title,0.48294797539711
Enzyme_left,title,0.48269617557525635
NaturalEvent_right,title,0.4826807975769043
Device_right,title,0.4824870824813843
Magazine_left,title,0.48213180899620056
ShoppingMall_left,title,0.4819411635398865
RailwayLine_right,title,0.4818842113018036
Venue_left,title,0.4811657667160034
ClericalAdministrativeRegion_right,title,0.48077934980392456
Tournament_left,title,0.4806617498397827
TelevisionStation_right,title,0.47962117195129395
SportsLeague_left,title,0.4795779287815094
ClericalAdministrativeRegion_left,title,0.4790765047073364
PoliticalParty_left,title,0.4780622720718384
Museum_left,title,0.47735467553138733
Award_right,title,0.4771611988544464
