candidate_table,candidate_column,similarity_score
Song_right,title,0.576275110244751
Wrestler_right,title,0.5330440402030945
Wrestler_left,title,0.5195862501859665
Artwork_right,title,0.5164978504180908
Magazine_left,title,0.5137344896793365
Magazine_right,title,0.5112400352954865
TelevisionStation_left,title,0.5108425617218018
GivenName_right,title,0.5074062943458557
Artwork_left,title,0.5073173493146896
Race_right,title,0.5070582628250122
TelevisionStation_right,title,0.5057152956724167
GivenName_left,title,0.5049401521682739
Race_left,title,0.5028643906116486
MemberOfParliament_left,title,0.5028251260519028
RailwayLine_left,title,0.5026068985462189
Venue_left,title,0.5019822716712952
BasketballTeam_left,title,0.501971885561943
RailwayLine_right,title,0.501290962100029
Reptile_left,title,0.501152902841568
ArtificialSatellite_left,title,0.4968632310628891
MemberOfParliament_right,title,0.496824249625206
ChristianBishop_right,title,0.49651114642620087
BasketballTeam_right,title,0.49587906897068024
Reptile_right,title,0.49573129415512085
SportFacility_left,title,0.49548816680908203
Monarch_left,title,0.4951542317867279
ChristianBishop_left,title,0.4949423372745514
Stadium_left,title,0.4947274923324585
Tournament_left,title,0.49380646646022797
EthnicGroup_right,title,0.493092343211174
Venue_right,title,0.492512047290802
EthnicGroup_left,title,0.4924991577863693
Noble_left,title,0.4924190938472748
Device_right,title,0.4923125207424164
Award_left,title,0.49157388508319855
Country_left,title,0.489626869559288
Museum_left,title,0.4894939810037613
PoliticalParty_right,title,0.48939982056617737
Device_left,title,0.4892067462205887
PoliticalParty_left,title,0.48916855454444885
Amphibian_left,title,0.488911435008049
ShoppingMall_right,title,0.487905815243721
SportsLeague_left,title,0.48643311858177185
SportFacility_right,title,0.4860655814409256
Amphibian_right,title,0.48507170379161835
HistoricBuilding_left,title,0.484742134809494
Monarch_right,title,0.4842536002397537
Stadium_right,title,0.4834425002336502
Museum_right,title,0.4833563566207886
RugbyLeague_left,title,0.4815912991762161
