candidate_table,candidate_column,similarity_score
SportsLeague_right,title,0.5863782167434692
SoccerLeague_right,title,0.5816763043403625
RugbyLeague_left,title,0.5774012804031372
SoccerLeague_left,title,0.5770769715309143
RugbyLeague_right,title,0.5320452451705933
Tournament_right,title,0.5071709752082825
Tournament_left,title,0.507132351398468
FootballLeagueSeason_left,title,0.5020807385444641
SoccerTournament_left,title,0.5002082586288452
BasketballTeam_right,title,0.49890607595443726
FootballLeagueSeason_right,title,0.49820369482040405
FootballMatch_left,title,0.4898234009742737
Race_right,title,0.48164063692092896
Stadium_right,title,0.47893789410591125
SoccerTournament_right,title,0.4780711531639099
TelevisionStation_right,title,0.4766981601715088
MotorsportSeason_left,title,0.4756111800670624
SportFacility_right,title,0.47517019510269165
BasketballTeam_left,title,0.4739876687526703
TennisTournament_left,title,0.4734024405479431
Venue_right,title,0.4733228385448456
Award_left,title,0.4727621376514435
SoccerClubSeason_left,title,0.470956027507782
PoliticalParty_right,title,0.46936994791030884
TelevisionStation_left,title,0.4689737856388092
Country_left,title,0.4675794839859009
Race_left,title,0.46675485372543335
Stadium_left,title,0.4666518270969391
GovernmentAgency_right,title,0.46494317054748535
Award_right,title,0.46359604597091675
PoliticalParty_left,title,0.46210697293281555
SportFacility_left,title,0.46044921875
NationalFootballLeagueSeason_left,title,0.4580382704734802
Magazine_left,title,0.45788049697875977
Magazine_right,title,0.4576776325702667
Venue_left,title,0.45379337668418884
RailwayLine_right,title,0.4518784284591675
RailwayLine_left,title,0.45102939009666443
FootballMatch_right,title,0.4492274522781372
Country_right,title,0.4488024413585663
EthnicGroup_right,title,0.44856196641921997
GovernmentAgency_left,title,0.4481230080127716
MotorsportSeason_right,title,0.446774423122406
Legislature_left,title,0.4463156461715698
Museum_left,title,0.44356295466423035
ArtificialSatellite_left,title,0.4433174431324005
MemberOfParliament_left,title,0.4425511658191681
ShoppingMall_right,title,0.4424821138381958
Song_left,title,0.4423418343067169
UnitOfWork_left,title,0.441346675157547
