id,title
0,2003 Bassmaster Tour #5 (Lake Eufaula)
1,2003 Bassmaster Tour #4 (Toledo Bend Reservoir)
2,2003 Bassmaster Tour #4 (Lake Seminole)
3,2003 Bassmaster Tour #2 (Lake Okeechobee)
4,2003 Bassmaster Tour #1 (Harris Chain Of Lakes)
5,2002 Central Open #3 (Sam Rayburn Reservoir)
6,2002 Central Open #2 (Lake Ouachita)
7,2002 Central Open #1 (Red River)
8,2002 Bassmaster Classic (Lay Lake)
9,2002 Alabama Bassmaster Tour (Lake Eufaula)
10,2002 Alabama Bassmaster Tour (Lake Guntersville)
11,2002 Louisiana Central Open (Toledo Bend Reservoir)
12,2002 Texas Central Open (Sam Rayburn Reservoir)
13,2002 Georgia Bassmaster Tour (Lake Seminole)
14,2001 Florida Tour (Kissimmee Chain of Lakes)
15,2001 Missouri Central Open (Lake Of The Ozarks)
16,2001 Louisiana Bassmaster Tour (Red River)
17,2001 Oklahoma Central Open (Fort Gibson Lake)
18,2001 Michigan Bassmaster Tour (Lake St. Clair)
19,2001 Bassmaster Megabucks (Douglas Lake)
20,2001 Missouri Central Invitational (Table Rock Lake)
21,2001 Alabama Bassmaster Top 150 (Lake Wheeler)
22,2001 Texas Central Invitational (Sam Rayburn Reservoir)
23,2001 Louisiana Bassmaster Top 150 (Toledo Bend Reservoir)
24,2001 Florida Bassmaster Top 150 (Kissimmee Chain of Lakes)
25,2000 Missouri Central Invitational (Lake Of The Ozarks)
26,2000 Alabama Bassmaster Top 150 (Mobile Delta)
27,2000 Louisiana Central Invitational (Red River)
28,2000 Louisiana Bassmaster Top 150 (Louisiana Delta)
29,2000 Maryland Bassmaster Top 150 (Potomac River)
30,2000 Alabama Bassmaster Top 150 (Lake Wheeler)
31,2000 Bassmaster Megabucks (Lake Murray)
32,2000 Georgia Bassmaster Top 150 (Lake Seminole)
33,2000 Florida Eastern Invitational (Lake Okeechobee)
34,2000 Florida Bassmaster Top 150 (Kissimmee Chain of Lakes)
35,1999 Alabama Eastern Invitational (Lake Martin)
36,1999 Maryland Bassmaster Top 150 (Potomac River)
37,1999 New York Invitational (St. Lawrence River)
38,1999 Vermont Bassmaster Top 150 (Lake Champlain)
39,1999 Michigan Bassmaster Top 150 (Lake St. Clair)
40,1999 Bassmaster Classic (Louisiana Delta)
41,1999 Bassmaster Megabucks (Old Hickory Lake)
42,1999 Nevada Bassmaster Top 150 (Lake Mead)
43,1999 Alabama Bassmaster Top 150 (Lake Wheeler)
44,1999 Texas Central Invitational (Sam Rayburn Reservoir)
45,1999 Florida BassmasterTop 150 (Kissimmee Chain of Lakes)
46,1998 Missouri Central Invitational (Lake Of The Ozarks)
47,1998 Alabama Bassmaster Top 150 (Logan Martin Lake)
48,1998 Louisiana Bassmaster Top 150 (Louisiana Delta)
49,1998 Maryland Bassmaster Top 150 (Potomac River)
