candidate_table,candidate_column,similarity_score
GivenName_right,title,0.604590505361557
Wrestler_right,title,0.542090117931366
Wrestler_left,title,0.5335092842578888
ChristianBishop_right,title,0.5318755358457565
Monarch_right,title,0.5254672765731812
Monarch_left,title,0.5199198871850967
Noble_left,title,0.5193374305963516
EthnicGroup_right,title,0.5187878310680389
MemberOfParliament_left,title,0.5175567418336868
ChristianBishop_left,title,0.5172797739505768
Noble_right,title,0.5172598361968994
MemberOfParliament_right,title,0.5171738415956497
Country_right,title,0.5153158605098724
EthnicGroup_left,title,0.5097108632326126
Country_left,title,0.5049442499876022
Amphibian_left,title,0.504751592874527
Reptile_left,title,0.5016052275896072
Race_right,title,0.5005691945552826
Reptile_right,title,0.49954286217689514
Drug_right,title,0.49852149188518524
Amphibian_right,title,0.49847061932086945
Magazine_right,title,0.49832122027873993
Song_left,title,0.49671436846256256
BasketballTeam_left,title,0.49412088096141815
Song_right,title,0.4940917193889618
Race_left,title,0.4933185577392578
Magazine_left,title,0.4925991892814636
BasketballTeam_right,title,0.4924902319908142
HistoricBuilding_left,title,0.49237142503261566
Artwork_right,title,0.49203434586524963
RailwayLine_left,title,0.4910903126001358
Device_right,title,0.49072372913360596
Stadium_left,title,0.49071480333805084
TelevisionStation_left,title,0.49053947627544403
Drug_left,title,0.4900028705596924
SoccerLeague_left,title,0.4887402057647705
Tournament_left,title,0.48824067413806915
TelevisionStation_right,title,0.4881202280521393
SportFacility_left,title,0.4874737560749054
PoliticalParty_left,title,0.4868219494819641
RailwayLine_right,title,0.4865747094154358
RugbyLeague_left,title,0.4860355705022812
ArtificialSatellite_left,title,0.48576533794403076
Legislature_left,title,0.4857339859008789
Tournament_right,title,0.4833233952522278
Device_left,title,0.4829874336719513
Artwork_left,title,0.48266415297985077
Museum_left,title,0.4826299399137497
SportsLeague_left,title,0.4823603630065918
Galaxy_left,title,0.48215247690677643
