candidate_table,candidate_column,similarity_score
PoliticalParty_right,title,0.546657383441925
Legislature_right,title,0.49656079709529877
Election_left,title,0.47842004895210266
SoccerLeague_left,title,0.4750853329896927
Legislature_left,title,0.4711044877767563
Country_left,title,0.4710502028465271
Election_right,title,0.46913662552833557
Country_right,title,0.46547234058380127
EthnicGroup_left,title,0.46185898780822754
BasketballTeam_left,title,0.4614746421575546
GovernmentAgency_right,title,0.46046121418476105
MemberOfParliament_right,title,0.46034134924411774
SoccerLeague_right,title,0.45939986407756805
RugbyLeague_left,title,0.4591052234172821
Song_right,title,0.45864710211753845
Song_left,title,0.45756228268146515
GivenName_right,title,0.4575175493955612
GivenName_left,title,0.45570315420627594
SportsLeague_right,title,0.4540242999792099
EthnicGroup_right,title,0.45384402573108673
SportsLeague_left,title,0.4535387009382248
Tournament_left,title,0.4531329721212387
RugbyLeague_right,title,0.45301586389541626
Magazine_left,title,0.45289240777492523
RailwayLine_left,title,0.4528917223215103
RailwayLine_right,title,0.4523715674877167
Magazine_right,title,0.4511541873216629
Stadium_left,title,0.4509136527776718
GovernmentAgency_left,title,0.4506186544895172
ShoppingMall_right,title,0.44996050000190735
ClericalAdministrativeRegion_left,title,0.44915685057640076
Wrestler_left,title,0.4487592726945877
TelevisionStation_left,title,0.4484606981277466
TelevisionStation_right,title,0.4484120160341263
Wrestler_right,title,0.44652268290519714
ClericalAdministrativeRegion_right,title,0.4462856501340866
Race_left,title,0.4459526538848877
MemberOfParliament_left,title,0.4437423199415207
ChristianBishop_right,title,0.4430500864982605
ArtificialSatellite_left,title,0.4426484704017639
Museum_left,title,0.4415227919816971
Hospital_left,title,0.44103899598121643
Reptile_left,title,0.44062069058418274
HistoricBuilding_left,title,0.44033437967300415
BasketballTeam_right,title,0.4394463151693344
Drug_right,title,0.43920961022377014
NaturalEvent_right,title,0.43901753425598145
ArtificialSatellite_right,title,0.438830628991127
Amphibian_left,title,0.43880580365657806
Venue_left,title,0.43845726549625397
