candidate_table,candidate_column,similarity_score
UnitOfWork_right,title,0.5324547290802002
Case_right,title,0.5324547290802002
Case_left,title,0.5259089469909668
UnitOfWork_left,title,0.524207592010498
ChristianBishop_left,title,0.440056711435318
GovernmentAgency_left,title,0.4310484826564789
GovernmentAgency_right,title,0.4284900724887848
Legislature_left,title,0.4212537407875061
Election_right,title,0.4167182743549347
ChristianBishop_right,title,0.41520464420318604
Artwork_left,title,0.41353315114974976
Election_left,title,0.41184067726135254
MemberOfParliament_right,title,0.4036937654018402
MemberOfParliament_left,title,0.4021695852279663
PoliticalParty_left,title,0.4010401964187622
Wrestler_right,title,0.40039607882499695
Wrestler_left,title,0.39939722418785095
Magazine_left,title,0.39841970801353455
PoliticalParty_right,title,0.3969477117061615
Song_left,title,0.39601442217826843
TelevisionStation_left,title,0.3954618573188782
Monarch_right,title,0.39432063698768616
Race_left,title,0.3941182494163513
Award_left,title,0.39328646659851074
SportFacility_left,title,0.3928664028644562
Race_right,title,0.3924395740032196
GivenName_left,title,0.39202216267585754
Museum_left,title,0.3906595706939697
Country_left,title,0.3900216221809387
Tournament_left,title,0.3898369073867798
RailwayLine_left,title,0.3895193040370941
Stadium_left,title,0.3871820867061615
Magazine_right,title,0.38535356521606445
BasketballTeam_left,title,0.38450947403907776
SportsLeague_left,title,0.381896048784256
Song_right,title,0.38149330019950867
Monarch_left,title,0.38062337040901184
Hospital_left,title,0.37881067395210266
Drug_right,title,0.37835627794265747
RugbyLeague_left,title,0.37789732217788696
Legislature_right,title,0.37755000591278076
Award_right,title,0.3774622082710266
Venue_left,title,0.3766474425792694
Country_right,title,0.37591230869293213
TelevisionStation_right,title,0.37472736835479736
SportFacility_right,title,0.37345561385154724
Noble_left,title,0.37239277362823486
Device_right,title,0.3723592460155487
Tournament_right,title,0.3721946179866791
NationalFootballLeagueSeason_left,title,0.3715479373931885
