candidate_table,candidate_column,similarity_score
SoccerClubSeason_left,title,0.6340422630310059
FootballLeagueSeason_right,title,0.5298029780387878
FootballLeagueSeason_left,title,0.5170019865036011
NationalFootballLeagueSeason_left,title,0.5138466358184814
SoccerClubSeason_right,title,0.5122750401496887
MotorsportSeason_left,title,0.5096591114997864
FootballMatch_left,title,0.4893782436847687
SoccerTournament_left,title,0.4854079782962799
SoccerLeague_right,title,0.48021745681762695
MotorsportSeason_right,title,0.4785006642341614
SoccerTournament_right,title,0.47771161794662476
TennisTournament_left,title,0.4760947525501251
SoccerLeague_left,title,0.46929147839546204
Tournament_right,title,0.46075472235679626
FootballMatch_right,title,0.4587407410144806
SportsLeague_left,title,0.45533430576324463
SportsLeague_right,title,0.45517969131469727
Tournament_left,title,0.45229649543762207
RugbyLeague_left,title,0.45199447870254517
TennisTournament_right,title,0.44566571712493896
NCAATeamSeason_left,title,0.4427071809768677
BasketballTeam_right,title,0.4407288432121277
BasketballTeam_left,title,0.4369891583919525
Award_left,title,0.4278642237186432
TelevisionStation_left,title,0.42671316862106323
Election_right,title,0.4265383183956146
TelevisionStation_right,title,0.42508792877197266
SportFacility_right,title,0.42464080452919006
Stadium_right,title,0.4240666627883911
Election_left,title,0.4240109324455261
RailwayLine_right,title,0.4237905740737915
Venue_right,title,0.41966378688812256
Race_left,title,0.4184756577014923
Race_right,title,0.41658106446266174
RugbyLeague_right,title,0.41632822155952454
RailwayLine_left,title,0.4156271517276764
Wrestler_right,title,0.41439712047576904
Device_left,title,0.41430532932281494
Device_right,title,0.4142667055130005
PoliticalParty_right,title,0.41320598125457764
Monarch_left,id,0.412912517786026
Magazine_right,title,0.4094744324684143
Country_left,id,0.408963143825531
SoccerTournament_left,id,0.4089335501194
NationalFootballLeagueSeason_left,id,0.40880000591278076
Magazine_left,id,0.4087508022785187
UnitOfWork_left,id,0.40831661224365234
Wrestler_left,title,0.40785467624664307
Stadium_left,title,0.40782052278518677
PoliticalParty_left,title,0.40766242146492004
