candidate_table,candidate_column,similarity_score
Museum_right,title,0.5713992734086012
ShoppingMall_left,title,0.5029259366878792
ShoppingMall_right,title,0.5008820951104571
Venue_left,title,0.4965780176027126
SportFacility_left,title,0.49431164520369747
TelevisionStation_left,title,0.4942061350009699
Venue_right,title,0.49325671145634226
Stadium_right,title,0.49279113696437277
GovernmentAgency_right,title,0.49276137861484093
RailwayLine_right,title,0.4895480454509361
Stadium_left,title,0.4894966809187164
SportFacility_right,title,0.4892393484678092
RailwayLine_left,title,0.48911785463097107
Hospital_right,title,0.4889938697644981
Hospital_left,title,0.4848367072700335
Magazine_left,title,0.4837866232766356
HistoricBuilding_left,title,0.48220226041902337
Tournament_left,title,0.4821476195932594
BasketballTeam_left,title,0.4814898570015053
EthnicGroup_right,title,0.48136378558389503
Magazine_right,title,0.4806716183550452
GovernmentAgency_left,title,0.47915735945043364
TelevisionStation_right,title,0.4787772750855768
Reptile_left,title,0.47859632016522613
Country_left,title,0.47847305928550615
Race_left,title,0.4781808185571877
Wrestler_left,title,0.4762432787222733
Wrestler_right,title,0.4761588107290647
ArtificialSatellite_left,title,0.47612877648790825
Reptile_right,title,0.4758717503232038
SportsLeague_left,title,0.47583838419974184
Country_right,title,0.4756245709917781
EthnicGroup_left,title,0.4736081527796333
Award_right,title,0.4734597545193536
Song_left,title,0.4729140760937288
Artwork_left,title,0.4727601205322201
Award_left,title,0.47220053811814117
Device_right,title,0.4721769660020957
BasketballTeam_right,title,0.4718149327711042
Artwork_right,title,0.47092359583021015
Race_right,title,0.47079567617401435
RugbyLeague_left,title,0.469590002732751
HistoricBuilding_right,title,0.4693548728741926
GivenName_left,title,0.46918369004192934
Legislature_left,title,0.4678237133486977
Galaxy_left,title,0.4677332869331626
MemberOfParliament_left,title,0.4673768122887938
Tournament_right,title,0.46642564920600954
Amphibian_left,title,0.4655330603363802
Monarch_left,title,0.46514563386867575
