candidate_table,candidate_column,similarity_score
BasketballTeam_right,title,0.6174230575561523
SportsLeague_right,title,0.519920602440834
SportsLeague_left,title,0.5195908546447754
RugbyLeague_left,title,0.5133817493915558
SoccerLeague_left,title,0.5095543414354324
SoccerLeague_right,title,0.509349524974823
Wrestler_right,title,0.5081280469894409
EthnicGroup_right,title,0.5080873221158981
Reptile_left,title,0.5071721076965332
TelevisionStation_left,title,0.5059201568365097
Tournament_left,title,0.5055316537618637
RailwayLine_left,title,0.5055018365383148
RailwayLine_right,title,0.5042220950126648
Wrestler_left,title,0.5041118860244751
Race_right,title,0.5033906698226929
EthnicGroup_left,title,0.5018342286348343
Reptile_right,title,0.5000042617321014
SportFacility_left,title,0.49969007074832916
Country_left,title,0.4985355883836746
ShoppingMall_right,title,0.4978552460670471
Country_right,title,0.49756865203380585
Tournament_right,title,0.49692773818969727
TelevisionStation_right,title,0.49642355740070343
GivenName_left,title,0.49611860513687134
Race_left,title,0.495591402053833
Stadium_left,title,0.49535998702049255
Stadium_right,title,0.49459923803806305
Venue_left,title,0.4945444315671921
GivenName_right,title,0.49402323365211487
SportFacility_right,title,0.493575856089592
Song_left,title,0.4929620176553726
RugbyLeague_right,title,0.49238358438014984
Amphibian_left,title,0.49201227724552155
Device_right,title,0.4919055551290512
ShoppingMall_left,title,0.49165312945842743
Monarch_left,title,0.49146614968776703
Museum_left,title,0.4914076626300812
PoliticalParty_left,title,0.490827739238739
Venue_right,title,0.49031388759613037
ChristianBishop_right,title,0.4902077913284302
Amphibian_right,title,0.49012836813926697
NationalFootballLeagueSeason_left,title,0.4898793250322342
ChristianBishop_left,title,0.489690899848938
Magazine_left,title,0.48903217911720276
MemberOfParliament_left,title,0.48880961537361145
Magazine_right,title,0.48877523839473724
GovernmentAgency_left,title,0.4878201484680176
Drug_right,title,0.4864366054534912
PoliticalParty_right,title,0.4856763333082199
GovernmentAgency_right,title,0.48528628051280975
