candidate_table,candidate_column,similarity_score
NaturalEvent_right,title,0.6048792315503062
Hospital_left,id,0.43214239605514165
SoccerTournament_left,id,0.43152225321586607
Country_left,id,0.4313956058652064
ClericalAdministrativeRegion_left,id,0.43015880960400377
NationalFootballLeagueSeason_left,id,0.429791039286441
Case_left,id,0.4294250295529717
UnitOfWork_left,id,0.4293513690012931
SportsLeague_left,id,0.429348300308475
Artwork_left,id,0.429348300308475
Wrestler_left,id,0.42887673154290634
Noble_left,id,0.42849418623759244
Amphibian_left,id,0.427931846070652
FootballLeagueSeason_left,id,0.4274855977369734
Magazine_left,id,0.42725021416198217
Enzyme_left,id,0.427210729894427
GivenName_left,id,0.42704883571567853
Race_left,id,0.4266081834493377
Museum_left,id,0.4263029334770987
GovernmentAgency_left,id,0.4263029334770987
PoliticalParty_left,id,0.42588840719162646
EthnicGroup_left,id,0.4258368419090093
RailwayLine_left,id,0.4255548458916693
FootballMatch_left,id,0.4255396264227846
Stadium_left,id,0.42522931183716045
Award_left,id,0.42511004677278674
HistoricBuilding_left,id,0.42510398371254243
Monarch_left,id,0.42491884178209266
Artwork_left,title,0.42470293809444365
Song_left,id,0.42458325010652037
Venue_left,id,0.42441350879173423
Amphibian_right,id,0.4243477361400813
NCAATeamSeason_left,id,0.4241054828649682
MotorsportSeason_left,id,0.42404371052337153
Tournament_left,id,0.42379288577324753
TelevisionStation_right,id,0.42368726431309484
Legislature_left,id,0.4234631575498187
SoccerLeague_left,id,0.4234631575498187
MemberOfParliament_left,id,0.42281315386608725
SportFacility_left,id,0.422791405499331
Tournament_right,id,0.42272157282878203
Wrestler_right,id,0.42264695453740764
HistoricBuilding_right,id,0.42258841853707513
ArtificialSatellite_left,title,0.42258145275617087
EthnicGroup_right,id,0.4225375050966219
SportFacility_right,id,0.4223949624458935
SoccerClubSeason_left,id,0.42230960409042617
TelevisionStation_left,id,0.4223012037387241
SportsLeague_right,id,0.422223278732826
Election_left,id,0.42217816067954494
