candidate_table,candidate_column,similarity_score
Drug_right,title,0.563811182975769
Enzyme_left,title,0.5275986641645432
Enzyme_right,title,0.5041522085666656
Device_right,id,0.4946500211954117
Stadium_right,id,0.49375787377357483
HistoricBuilding_right,id,0.49346010386943817
ArtificialSatellite_left,title,0.4925794452428818
Reptile_right,id,0.49253930151462555
RugbyLeague_left,id,0.4921802431344986
SportFacility_right,id,0.49215833842754364
Election_right,id,0.49193134903907776
Song_right,id,0.49186110496520996
Venue_left,id,0.49167634546756744
BasketballTeam_left,id,0.4913136661052704
Reptile_left,id,0.4910171926021576
GivenName_left,id,0.48973655700683594
TennisTournament_left,id,0.48948249220848083
Song_left,id,0.4891035556793213
Country_left,title,0.48875802755355835
SoccerClubSeason_left,id,0.48872576653957367
Venue_right,id,0.48843614757061005
Award_right,id,0.48843614757061005
ChristianBishop_right,id,0.48840175569057465
PoliticalParty_right,id,0.48840175569057465
SportsLeague_right,id,0.48840175569057465
Galaxy_left,id,0.4883987456560135
GovernmentAgency_right,id,0.488318607211113
MotorsportSeason_left,id,0.48828086256980896
MemberOfParliament_right,id,0.4882635325193405
ClericalAdministrativeRegion_left,id,0.48796048760414124
FootballLeagueSeason_left,id,0.48750849068164825
Legislature_left,id,0.4872922897338867
SoccerLeague_left,id,0.4872922897338867
Wrestler_right,id,0.4872777462005615
Tournament_right,id,0.4872777462005615
ShoppingMall_right,id,0.48716336488723755
UnitOfWork_right,id,0.48714011907577515
Case_right,id,0.48714011907577515
NationalFootballLeagueSeason_left,id,0.48710912466049194
Amphibian_left,title,0.4870665967464447
Artwork_left,id,0.4870397299528122
SportsLeague_left,id,0.4870397299528122
SoccerTournament_left,id,0.4869050681591034
Country_left,id,0.4869050681591034
NCAATeamSeason_left,id,0.48682039976119995
ArtificialSatellite_left,id,0.486688032746315
EthnicGroup_left,id,0.48667944967746735
Legislature_right,id,0.48662279546260834
HistoricBuilding_left,id,0.48649729788303375
Stadium_left,id,0.48649729788303375
