candidate_table,candidate_column,similarity_score
NCAATeamSeason_right,title,0.6417732834815979
NationalFootballLeagueSeason_left,title,0.5499820113182068
FootballLeagueSeason_right,title,0.5479043126106262
SoccerClubSeason_right,title,0.5461084842681885
FootballLeagueSeason_left,title,0.5262795090675354
NationalFootballLeagueSeason_right,title,0.5096579790115356
SoccerClubSeason_left,title,0.5091764330863953
SoccerLeague_right,title,0.5051515102386475
SoccerTournament_right,title,0.5032607913017273
TennisTournament_left,title,0.49224504828453064
SportsLeague_right,title,0.49181485176086426
SoccerLeague_left,title,0.49037396907806396
FootballMatch_left,title,0.4838237762451172
SportsLeague_left,title,0.48360320925712585
Tournament_right,title,0.4830946922302246
SoccerTournament_left,title,0.4804667532444
Award_left,title,0.47690701484680176
TennisTournament_right,title,0.4754040539264679
RugbyLeague_left,title,0.47424739599227905
BasketballTeam_right,title,0.4726845622062683
MotorsportSeason_right,title,0.47171550989151
MotorsportSeason_left,title,0.4711410105228424
Tournament_left,title,0.4689818024635315
Election_right,title,0.46028485894203186
BasketballTeam_left,title,0.4594274163246155
FootballMatch_right,title,0.4580569565296173
Election_left,title,0.4575425088405609
Race_right,title,0.45560845732688904
RugbyLeague_right,title,0.4507544934749603
Wrestler_right,title,0.450184166431427
TelevisionStation_left,title,0.44955453276634216
Hospital_left,title,0.44637471437454224
SportFacility_right,title,0.44625771045684814
PoliticalParty_left,id,0.44337502121925354
GovernmentAgency_right,title,0.4428735673427582
MemberOfParliament_left,id,0.4422135651111603
FootballLeagueSeason_left,id,0.4422105848789215
NationalFootballLeagueSeason_left,id,0.44177353382110596
Hospital_left,id,0.4412555694580078
Hospital_right,title,0.4412359297275543
RailwayLine_left,title,0.4411618411540985
Song_left,id,0.44021353125572205
Venue_left,title,0.4401668906211853
UnitOfWork_left,id,0.4401503801345825
TelevisionStation_right,title,0.43993237614631653
Case_right,title,0.43917539715766907
UnitOfWork_right,title,0.43917539715766907
EthnicGroup_left,id,0.43916723132133484
Stadium_left,id,0.4384908378124237
Case_left,id,0.43843790888786316
