candidate_table,candidate_column,similarity_score
Amphibian_right,title,0.6894921064376831
Reptile_right,title,0.6121125221252441
Reptile_left,title,0.6100431084632874
Enzyme_left,title,0.5399783253669739
EthnicGroup_right,title,0.5382170081138611
Monarch_left,title,0.5357521772384644
Drug_right,title,0.5320342779159546
GivenName_left,title,0.5287399888038635
Drug_left,title,0.5274732708930969
Song_left,title,0.5256108045578003
Device_right,title,0.5255770683288574
ChristianBishop_left,title,0.5252516269683838
Country_left,title,0.5245476365089417
ChristianBishop_right,title,0.5239037275314331
GivenName_right,title,0.5234825611114502
Wrestler_right,title,0.5233829617500305
BasketballTeam_left,title,0.5233557820320129
Magazine_left,title,0.5216731429100037
BasketballTeam_right,title,0.5203186869621277
MemberOfParliament_left,title,0.5190863609313965
EthnicGroup_left,title,0.5181522965431213
Noble_left,title,0.5165622234344482
Artwork_left,title,0.516451358795166
ArtificialSatellite_left,title,0.515643835067749
Wrestler_left,title,0.5151914954185486
Monarch_right,title,0.5146928429603577
Race_right,title,0.5146209001541138
RailwayLine_right,title,0.5124532580375671
Artwork_right,title,0.5111550092697144
Magazine_right,title,0.509761393070221
SportsLeague_left,title,0.508668839931488
Country_right,title,0.5083702802658081
SportFacility_left,title,0.5078009366989136
MemberOfParliament_right,title,0.5077177286148071
Noble_right,title,0.507331907749176
PoliticalParty_left,title,0.5066972374916077
Enzyme_right,title,0.5062493085861206
Museum_left,title,0.505222737789154
RailwayLine_left,title,0.5044721364974976
Venue_left,title,0.5042191743850708
Race_left,title,0.5039646029472351
Galaxy_left,title,0.5017450451850891
ShoppingMall_right,title,0.5013824701309204
TelevisionStation_left,title,0.5011876821517944
TelevisionStation_right,title,0.5006465315818787
Device_left,title,0.5002591609954834
SoccerLeague_left,title,0.49911102652549744
Galaxy_right,title,0.49769914150238037
Stadium_left,title,0.49705925583839417
PoliticalParty_right,title,0.4968211054801941
