candidate_table,candidate_column,similarity_score
Stadium_left,title,0.6026630401611328
Stadium_right,title,0.5834156274795532
SportFacility_right,title,0.580466628074646
Venue_right,title,0.5550912618637085
ShoppingMall_right,title,0.5477240085601807
ShoppingMall_left,title,0.5447156429290771
Race_right,title,0.5371136665344238
SoccerLeague_right,title,0.5365638732910156
RailwayLine_right,title,0.5359439849853516
Venue_left,title,0.5323331356048584
RailwayLine_left,title,0.5301841497421265
RugbyLeague_left,title,0.5275648832321167
Wrestler_right,title,0.5255769491195679
SportsLeague_right,title,0.5232947468757629
BasketballTeam_left,title,0.520917534828186
RugbyLeague_right,title,0.518936812877655
BasketballTeam_right,title,0.5183634757995605
SoccerLeague_left,title,0.5167207717895508
SportsLeague_left,title,0.5166141986846924
NCAATeamSeason_right,title,0.5144920945167542
Race_left,title,0.5127674341201782
Hospital_right,title,0.5122770667076111
Reptile_left,title,0.5107939839363098
Tournament_left,title,0.5102008581161499
Tournament_right,title,0.5098669528961182
TelevisionStation_left,title,0.5097217559814453
Wrestler_left,title,0.5089417695999146
Museum_left,title,0.5088367462158203
Hospital_left,title,0.5087289214134216
NationalFootballLeagueSeason_left,title,0.5085322856903076
EthnicGroup_right,title,0.5079004764556885
TelevisionStation_right,title,0.5063363313674927
Reptile_right,title,0.5063281059265137
Museum_right,title,0.5045987367630005
GivenName_left,title,0.503730058670044
NCAATeamSeason_left,title,0.5034184455871582
HistoricBuilding_left,title,0.5028548836708069
Magazine_left,title,0.5010596513748169
EthnicGroup_left,title,0.5010573863983154
ArtificialSatellite_left,title,0.5005998611450195
MemberOfParliament_left,title,0.5004047155380249
Country_left,title,0.49997279047966003
Magazine_right,title,0.4990374445915222
Device_right,title,0.4979345202445984
GivenName_right,title,0.4973047375679016
Amphibian_right,title,0.4970872104167938
Amphibian_left,title,0.4965953528881073
Song_left,title,0.496405690908432
Galaxy_left,title,0.49607163667678833
Artwork_left,title,0.4951499104499817
