candidate_table,candidate_column,similarity_score
UnitOfWork_right,title,0.566588431596756
Case_right,title,0.566588431596756
UnitOfWork_left,title,0.5617967844009399
GovernmentAgency_left,title,0.431027427315712
ChristianBishop_left,title,0.424793004989624
Election_right,title,0.4210626780986786
Legislature_left,title,0.42071348428726196
GovernmentAgency_right,title,0.41924047470092773
Election_left,title,0.41907189786434174
ChristianBishop_right,title,0.4154568761587143
Wrestler_right,title,0.41350463032722473
Race_right,title,0.4117536395788193
Wrestler_left,title,0.4107428342103958
Award_right,title,0.41072311997413635
MemberOfParliament_right,title,0.40890075266361237
Artwork_left,title,0.40850718319416046
Magazine_left,title,0.40788616240024567
Song_left,title,0.4070822149515152
Tournament_left,title,0.40399837493896484
RugbyLeague_left,title,0.4031748026609421
GivenName_left,title,0.40207822620868683
MemberOfParliament_left,title,0.399428591132164
TelevisionStation_left,title,0.39822225272655487
RailwayLine_left,title,0.3963707536458969
Magazine_right,title,0.3955075591802597
PoliticalParty_right,title,0.3953743875026703
PoliticalParty_left,title,0.3945715129375458
Award_left,title,0.39415961503982544
Monarch_right,title,0.3940204381942749
Country_left,title,0.3933049887418747
SportFacility_left,title,0.39263901114463806
Race_left,title,0.39172591269016266
BasketballTeam_left,title,0.3912392556667328
Drug_left,title,0.390493705868721
Device_right,title,0.39037737250328064
Song_right,title,0.3902195245027542
Drug_right,title,0.39014290273189545
Monarch_left,title,0.3898370563983917
Stadium_left,title,0.3896171599626541
Tournament_right,title,0.3892720937728882
SportsLeague_left,title,0.3889862895011902
Artwork_right,title,0.3887903392314911
Museum_left,title,0.38878753781318665
EthnicGroup_left,title,0.38804754614830017
NationalFootballLeagueSeason_left,title,0.3877885639667511
Country_right,title,0.3865820914506912
ShoppingMall_right,title,0.3865108788013458
NaturalEvent_left,title,0.3857889324426651
GivenName_right,title,0.38513821363449097
ArtificialSatellite_left,title,0.38434499502182007
