candidate_table,candidate_column,similarity_score
SoccerTournament_right,title,0.6167863011360168
FootballMatch_left,title,0.5574387907981873
Tournament_right,title,0.5458877980709076
FootballLeagueSeason_right,title,0.533545970916748
TennisTournament_left,title,0.5307233929634094
SoccerLeague_right,title,0.5265926122665405
SportsLeague_right,title,0.5247074067592621
FootballMatch_right,title,0.516712412238121
SoccerClubSeason_right,title,0.514779657125473
FootballLeagueSeason_left,title,0.5145945698022842
RugbyLeague_right,title,0.5133275091648102
SoccerClubSeason_left,title,0.5110270231962204
SoccerLeague_left,title,0.5099742114543915
MotorsportSeason_left,title,0.5095793604850769
MotorsportSeason_right,title,0.5091424733400345
RugbyLeague_left,title,0.5050543695688248
TennisTournament_right,title,0.50489342212677
Tournament_left,title,0.5012302100658417
SportsLeague_left,title,0.4899226874113083
NationalFootballLeagueSeason_left,title,0.4874979257583618
NCAATeamSeason_left,title,0.4812115728855133
Race_right,title,0.45934031903743744
NCAATeamSeason_right,title,0.4585705101490021
BasketballTeam_right,title,0.4527256339788437
Award_right,title,0.45099253952503204
Election_right,title,0.44784167408943176
Award_left,title,0.4468316435813904
Election_left,title,0.4465673267841339
Race_left,title,0.44377292692661285
Stadium_right,title,0.43890973925590515
Drug_right,id,0.4364901930093765
GivenName_right,id,0.4360099285840988
Race_right,id,0.4352256953716278
BasketballTeam_right,id,0.4352005571126938
Country_left,id,0.4350763410329819
BasketballTeam_left,title,0.43503396213054657
Legislature_right,id,0.43497374653816223
Monarch_left,id,0.4347503036260605
NationalFootballLeagueSeason_left,id,0.43467165529727936
ClericalAdministrativeRegion_right,id,0.434273436665535
ShoppingMall_left,id,0.43426239490509033
FootballLeagueSeason_right,id,0.4340205043554306
Magazine_right,id,0.4339880496263504
SoccerTournament_right,id,0.4338417500257492
Country_right,id,0.4338417500257492
ShoppingMall_right,id,0.43370048701763153
Hospital_left,id,0.4335928410291672
RailwayLine_right,id,0.43351446092128754
Monarch_right,id,0.4333460330963135
SoccerLeague_right,id,0.4333460330963135
