candidate_table,candidate_column,similarity_score
Country_right,title,0.5378794968128204
Legislature_right,title,0.4823571890592575
EthnicGroup_right,title,0.4775330424308777
EthnicGroup_left,title,0.4713032394647598
SoccerLeague_left,title,0.4710797220468521
ClericalAdministrativeRegion_left,title,0.4697105884552002
GivenName_left,title,0.4676890969276428
Legislature_left,title,0.4648858308792114
GivenName_right,title,0.46348781883716583
PoliticalParty_right,title,0.46068546175956726
Monarch_right,title,0.4595031589269638
RugbyLeague_left,title,0.45940516889095306
Monarch_left,title,0.457543283700943
ClericalAdministrativeRegion_right,title,0.4567400813102722
Amphibian_right,title,0.4555054306983948
PoliticalParty_left,title,0.45534926652908325
Amphibian_left,title,0.4551752060651779
SportsLeague_left,title,0.45488008856773376
ChristianBishop_left,title,0.45473790168762207
Reptile_left,title,0.45446890592575073
ShoppingMall_right,title,0.45426158607006073
Magazine_right,title,0.45415863394737244
Race_right,title,0.45334310829639435
NaturalEvent_right,title,0.45192235708236694
RailwayLine_left,title,0.4510333389043808
Reptile_right,title,0.45058673620224
SoccerLeague_right,title,0.45009492337703705
Race_left,title,0.4500924199819565
BasketballTeam_right,title,0.45001839101314545
GovernmentAgency_left,title,0.44991031289100647
Noble_left,title,0.4496389627456665
Song_left,title,0.4489416629076004
BasketballTeam_left,title,0.4481639266014099
ChristianBishop_right,title,0.4473538100719452
Wrestler_right,title,0.44672946631908417
Museum_right,title,0.44496577978134155
TelevisionStation_right,title,0.4446059614419937
Magazine_left,title,0.4436552971601486
HistoricBuilding_left,title,0.4434809982776642
Stadium_left,title,0.4434703588485718
NaturalEvent_left,title,0.44341495633125305
SportsLeague_right,title,0.442863792181015
GovernmentAgency_right,title,0.4426710307598114
Museum_left,title,0.44201846420764923
Wrestler_left,title,0.4412176012992859
RailwayLine_right,title,0.4407547861337662
Drug_left,title,0.4404786676168442
Noble_right,title,0.4403226673603058
Tournament_left,title,0.4402257204055786
TelevisionStation_left,title,0.43961918354034424
