candidate_table,candidate_column,similarity_score
Stadium_right,title,0.6356444358825684
SportFacility_right,title,0.6260601878166199
SportFacility_left,title,0.6226016283035278
Venue_right,title,0.6138678193092346
Stadium_left,title,0.6128172874450684
SoccerLeague_right,title,0.598989725112915
SoccerLeague_left,title,0.5915170907974243
Venue_left,title,0.5913956761360168
SportsLeague_right,title,0.5843504667282104
BasketballTeam_right,title,0.581051230430603
RugbyLeague_left,title,0.5794882774353027
Race_right,title,0.559756338596344
FootballLeagueSeason_right,title,0.5546057224273682
RailwayLine_right,title,0.5545305013656616
SportsLeague_left,title,0.5533046722412109
ShoppingMall_right,title,0.553273618221283
RugbyLeague_right,title,0.5525131225585938
RailwayLine_left,title,0.5495493412017822
Tournament_right,title,0.5482184886932373
ShoppingMall_left,title,0.5479558706283569
Museum_right,title,0.5426839590072632
TelevisionStation_right,title,0.5421870946884155
FootballMatch_left,title,0.5419521927833557
FootballLeagueSeason_left,title,0.5388288497924805
Country_left,title,0.5386034250259399
Magazine_right,title,0.5346232652664185
Country_right,title,0.5341417789459229
BasketballTeam_left,title,0.5338497161865234
GivenName_right,title,0.5330429077148438
Artwork_left,title,0.5325192213058472
Tournament_left,title,0.5323479175567627
SoccerTournament_right,title,0.5315579175949097
GovernmentAgency_right,title,0.5315375328063965
Race_left,title,0.5276615023612976
Museum_left,title,0.5272802710533142
Wrestler_right,title,0.5259944200515747
TelevisionStation_left,title,0.5257763266563416
SoccerClubSeason_left,title,0.524328351020813
Monarch_right,title,0.523636519908905
SoccerTournament_left,title,0.523475706577301
Hospital_left,title,0.5229132175445557
Magazine_left,title,0.5226980447769165
HistoricBuilding_left,title,0.5217898488044739
EthnicGroup_right,title,0.520492672920227
PoliticalParty_right,title,0.5178424119949341
Hospital_right,title,0.5177929401397705
GivenName_left,title,0.5158305168151855
Artwork_right,title,0.5150918960571289
Award_left,title,0.5150212049484253
Wrestler_left,title,0.5130201578140259
