query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Stadium_left.csv,title,donaustadion,SportFacility_left,title,donaustadion,1.0000004768371582
Stadium_left.csv,title,hands oval,SportFacility_left,title,hands oval,1.0000003576278687
Stadium_left.csv,title,mobile civic center,SportFacility_left,title,mobile civic center,1.0000003576278687
Stadium_left.csv,title,alamodome,SportFacility_left,title,alamodome,1.0000003576278687
Stadium_left.csv,title,endeavour field,SportFacility_left,title,endeavour field,1.0000003576278687
Stadium_left.csv,title,walter pyramid,SportFacility_left,title,walter pyramid,1.0000003576278687
Stadium_left.csv,title,cicerone field,SportFacility_left,title,cicerone field,1.0000003576278687
Stadium_left.csv,title,polideportivo municipal de manises,SportFacility_left,title,polideportivo municipal de manises,1.000000238418579
Stadium_left.csv,title,enmax centre,SportFacility_left,title,enmax centre,1.000000238418579
Stadium_left.csv,title,welland international flatwater centre,SportFacility_left,title,welland international flatwater centre,1.000000238418579
Stadium_left.csv,title,baku crystal hall,SportFacility_left,title,baku crystal hall,1.000000238418579
Stadium_left.csv,title,stadio romeo menti,SportFacility_left,title,stadio romeo menti,1.000000238418579
Stadium_left.csv,title,kingdome,SportFacility_left,title,kingdome,1.000000238418579
Stadium_left.csv,title,palaverde,SportFacility_left,title,palaverde,1.000000238418579
Stadium_left.csv,title,jassa sports center,SportFacility_left,title,jassa sports center,1.000000238418579
Stadium_left.csv,title,stade municipal (quebec city),SportFacility_left,title,stade municipal (quebec city),1.000000238418579
Stadium_left.csv,title,"the diamond (richmond, virginia)",SportFacility_left,title,"the diamond (richmond, virginia)",1.000000238418579
Stadium_left.csv,title,butte civic center,SportFacility_left,title,butte civic center,1.000000238418579
Stadium_left.csv,title,loyola field house,SportFacility_left,title,loyola field house,1.000000238418579
Stadium_left.csv,title,columbus crew stadium,SportFacility_left,title,columbus crew stadium,1.000000238418579
Stadium_left.csv,title,cappielow,SportFacility_left,title,cappielow,1.000000238418579
Stadium_left.csv,title,poststadion,SportFacility_left,title,poststadion,1.000000238418579
Stadium_left.csv,title,ames/isu ice arena,SportFacility_left,title,ames/isu ice arena,1.000000238418579
Stadium_left.csv,title,grimsta ip,SportFacility_left,title,grimsta ip,1.000000238418579
Stadium_left.csv,title,broadmoor world arena,SportFacility_left,title,broadmoor world arena,1.000000238418579
Stadium_left.csv,title,cuneta astrodome,SportFacility_left,title,cuneta astrodome,1.000000238418579
Stadium_left.csv,title,mastercard centre,SportFacility_left,title,mastercard centre,1.000000238418579
Stadium_left.csv,title,genesis convention center,SportFacility_left,title,genesis convention center,1.000000238418579
Stadium_left.csv,title,beotibar fronton,SportFacility_left,title,beotibar fronton,1.000000238418579
Stadium_left.csv,title,capitol grounds,SportFacility_left,title,capitol grounds,1.000000238418579
Stadium_left.csv,title,fred handler park,SportFacility_left,title,fred handler park,1.000000238418579
Stadium_left.csv,title,marquette stadium,SportFacility_left,title,marquette stadium,1.0000001192092896
Stadium_left.csv,title,evsc fields,SportFacility_left,title,evsc fields,1.0000001192092896
Stadium_left.csv,title,ucm multipurpose building,SportFacility_left,title,ucm multipurpose building,1.0000001192092896
Stadium_left.csv,title,bladerunners ice complex,SportFacility_left,title,bladerunners ice complex,1.0000001192092896
Stadium_left.csv,title,fedexforum,SportFacility_left,title,fedexforum,1.0000001192092896
Stadium_left.csv,title,oslo spektrum,SportFacility_left,title,oslo spektrum,1.0000001192092896
Stadium_left.csv,title,regents field,SportFacility_left,title,regents field,1.0000001192092896
Stadium_left.csv,title,commercial field,SportFacility_left,title,commercial field,1.0000001192092896
Stadium_left.csv,title,neu-ulm,SportFacility_left,title,neu-ulm,1.0000001192092896
Stadium_left.csv,title,turners cross (stadium),SportFacility_left,title,turners cross (stadium),1.0000001192092896
Stadium_left.csv,title,national equestrian center,SportFacility_left,title,national equestrian center,1.0000001192092896
Stadium_left.csv,title,bright hockey center,SportFacility_left,title,bright hockey center,1.0000001192092896
Stadium_left.csv,title,wildcat field,SportFacility_left,title,wildcat field,1.0000001192092896
Stadium_left.csv,title,carmelo k. anthony basketball center,SportFacility_left,title,carmelo k. anthony basketball center,1.0
Stadium_left.csv,title,rodney parade,SportFacility_left,title,rodney parade,1.0
Stadium_left.csv,title,denny field (washington),SportFacility_left,title,denny field (washington),1.0
Stadium_left.csv,title,bear down gym,SportFacility_left,title,bear down gym,1.0
Stadium_left.csv,title,the float at marina bay,SportFacility_left,title,the float at marina bay,1.0
Stadium_left.csv,title,cross insurance center,SportFacility_left,title,cross insurance center,1.0
Stadium_left.csv,title,the pickaquoy centre,SportFacility_left,title,the pickaquoy centre,1.0
Stadium_left.csv,title,k park training academy,SportFacility_left,title,k park training academy,1.0
Stadium_left.csv,title,philip ii arena,SportFacility_left,title,philip ii arena,1.0
Stadium_left.csv,title,duffy bass field,SportFacility_left,title,duffy bass field,1.0
Stadium_left.csv,title,botswana national stadium,SportFacility_left,title,botswana national stadium,1.0
Stadium_left.csv,title,edmonton gardens,SportFacility_left,title,edmonton gardens,1.0
Stadium_left.csv,title,earl lorden field,SportFacility_left,title,earl lorden field,1.0
Stadium_left.csv,title,centre air creebec,SportFacility_left,title,centre air creebec,1.0
Stadium_left.csv,title,bc place,SportFacility_left,title,bc place,1.0
Stadium_left.csv,title,u.s. cellular field,SportFacility_left,title,u.s. cellular field,1.0
Stadium_left.csv,title,odeum expo center,SportFacility_left,title,odeum expo center,1.0
Stadium_left.csv,title,pyongyang ice rink,SportFacility_left,title,pyongyang ice rink,1.0
Stadium_left.csv,title,lambert park (leichhardt),SportFacility_left,title,lambert park (leichhardt),1.0
Stadium_left.csv,title,biellaforum,SportFacility_left,title,biellaforum,1.0
Stadium_left.csv,title,bower fold,SportFacility_left,title,bower fold,1.0
Stadium_left.csv,title,at&t plaza,SportFacility_left,title,at&t plaza,1.0
Stadium_left.csv,title,bayarena,SportFacility_left,title,bayarena,1.0
Stadium_left.csv,title,shinjuku face,SportFacility_left,title,shinjuku face,1.0
Stadium_left.csv,title,plainmoor,SportFacility_left,title,plainmoor,1.0
Stadium_left.csv,title,hara arena,SportFacility_left,title,hara arena,1.0
Stadium_left.csv,title,rosenthal field,SportFacility_left,title,rosenthal field,1.0
Stadium_left.csv,title,ross memorial park and alexandre stadium,SportFacility_left,title,ross memorial park and alexandre stadium,1.0
Stadium_left.csv,title,henry memorial center,SportFacility_left,title,henry memorial center,1.0
Stadium_left.csv,title,klein field at sunken diamond,SportFacility_left,title,klein field at sunken diamond,1.0
Stadium_left.csv,title,adelaide super-drome,SportFacility_left,title,adelaide super-drome,1.0
Stadium_left.csv,title,rhode island auditorium,SportFacility_left,title,rhode island auditorium,1.0
Stadium_left.csv,title,ss anderson reserve,SportFacility_left,title,ss anderson reserve,1.0
Stadium_left.csv,title,cisco field,SportFacility_left,title,cisco field,1.0
Stadium_left.csv,title,husky field,SportFacility_left,title,husky field,1.0
Stadium_left.csv,title,polyvalent hall (cluj-napoca),SportFacility_left,title,polyvalent hall (cluj-napoca),1.0
Stadium_left.csv,title,eisstadion am pferdeturm,SportFacility_left,title,eisstadion am pferdeturm,1.0
Stadium_left.csv,title,hiroshima big arch,SportFacility_left,title,hiroshima big arch,1.0
Stadium_left.csv,title,the pilot field,SportFacility_left,title,the pilot field,1.0
Stadium_left.csv,title,basketball center of moscow region,SportFacility_left,title,basketball center of moscow region,1.0
Stadium_left.csv,title,davenport field,SportFacility_left,title,davenport field,1.0
Stadium_left.csv,title,loanmart field,SportFacility_left,title,loanmart field,0.9999999403953552
Stadium_left.csv,title,oval lingotto,SportFacility_left,title,oval lingotto,0.9999999403953552
Stadium_left.csv,title,td garden,SportFacility_left,title,td garden,0.9999999403953552
Stadium_left.csv,title,topsportcentrum rotterdam,SportFacility_left,title,topsportcentrum rotterdam,0.9999999403953552
Stadium_left.csv,title,cornwall civic complex,SportFacility_left,title,cornwall civic complex,0.9999999403953552
Stadium_left.csv,title,stony brook sports complex,SportFacility_left,title,stony brook sports complex,0.9999999403953552
Stadium_left.csv,title,tcu diamond,SportFacility_left,title,tcu diamond,0.9999999403953552
Stadium_left.csv,title,frome sports club,SportFacility_left,title,frome sports club,0.9999999403953552
Stadium_left.csv,title,vodafone ratu cakobau park,SportFacility_left,title,vodafone ratu cakobau park,0.9999999403953552
Stadium_left.csv,title,cap timm field,SportFacility_left,title,cap timm field,0.9999999403953552
Stadium_left.csv,title,sportpark de toekomst,SportFacility_left,title,sportpark de toekomst,0.9999999403953552
Stadium_left.csv,title,sidney myer music bowl,SportFacility_left,title,sidney myer music bowl,0.9999999403953552
Stadium_left.csv,title,"baker field (sherman, texas)",SportFacility_left,title,"baker field (sherman, texas)",0.9999998807907104
Stadium_left.csv,title,tacoma dome,SportFacility_left,title,tacoma dome,0.9999998807907104
Stadium_left.csv,title,tantramar civic centre,SportFacility_left,title,tantramar civic centre,0.9999998807907104
Stadium_left.csv,title,cajun field,SportFacility_left,title,cajun field,0.9999998807907104
Stadium_left.csv,title,coolray field,SportFacility_left,title,coolray field,0.9999998807907104
Stadium_left.csv,title,russki gorki jumping center,SportFacility_left,title,russki gorki jumping center,0.9999998807907104
Stadium_left.csv,title,celtic park (castlebar),SportFacility_left,title,celtic park (castlebar),0.9999998807907104
Stadium_left.csv,title,peoria sports complex,SportFacility_left,title,peoria sports complex,0.9999998807907104
Stadium_left.csv,title,james b. sheffield olympic skating rink,SportFacility_left,title,james b. sheffield olympic skating rink,0.9999998807907104
Stadium_left.csv,title,"national stadium, warsaw",SportFacility_left,title,"national stadium, warsaw",0.9999998807907104
Stadium_left.csv,title,peristeri indoor hall,SportFacility_left,title,peristeri indoor hall,0.9999998807907104
Stadium_left.csv,title,zephyr field,SportFacility_left,title,zephyr field,0.9999998807907104
Stadium_left.csv,title,lillehammer olympic bobsleigh and luge track,SportFacility_left,title,lillehammer olympic bobsleigh and luge track,0.9999998807907104
Stadium_left.csv,title,iksan south korea national baseball team training stadium,SportFacility_left,title,iksan south korea national baseball team training stadium,0.9999998807907104
Stadium_left.csv,title,australian equine and livestock events centre,SportFacility_left,title,australian equine and livestock events centre,0.9999998807907104
Stadium_left.csv,title,herman vanderpoortenstadion,SportFacility_left,title,herman vanderpoortenstadion,0.9999998807907104
Stadium_left.csv,title,espenmoos,SportFacility_left,title,espenmoos,0.9999998807907104
Stadium_left.csv,title,the hydro,SportFacility_left,title,the hydro,0.9999998807907104
Stadium_left.csv,title,campbell's field,SportFacility_left,title,campbell's field,0.9999998807907104
Stadium_left.csv,title,croke park,SportFacility_left,title,croke park,0.9999998807907104
Stadium_left.csv,title,hardturm,SportFacility_left,title,hardturm,0.9999998807907104
Stadium_left.csv,title,gold coast convention and exhibition centre,SportFacility_left,title,gold coast convention and exhibition centre,0.9999998807907104
Stadium_left.csv,title,tampere exhibition and sports centre,SportFacility_left,title,tampere exhibition and sports centre,0.9999998807907104
Stadium_left.csv,title,haas pavilion,SportFacility_left,title,haas pavilion,0.9999998807907104
Stadium_left.csv,title,td ameritrade park omaha,SportFacility_left,title,td ameritrade park omaha,0.9999998807907104
Stadium_left.csv,title,impact wrestling zone,SportFacility_left,title,impact wrestling zone,0.9999998211860657
Stadium_left.csv,title,east bengal ground,SportFacility_left,title,east bengal ground,0.9999997615814209
Stadium_left.csv,title,dr. hyde park,SportFacility_left,title,dr. hyde park,0.9999997615814209
Stadium_left.csv,title,comerica park,SportFacility_left,title,comerica park,0.9999997615814209
Stadium_left.csv,title,pioneer field (tusculum),SportFacility_left,title,pioneer field (tusculum),0.9999997615814209
Stadium_left.csv,title,nelson mandela forum,SportFacility_left,title,nelson mandela forum,0.9999997615814209
Stadium_left.csv,title,dom sportova,SportFacility_left,title,dom sportova,0.9999997615814209
Stadium_left.csv,title,dell diamond,SportFacility_left,title,dell diamond,0.9999997615814209
Stadium_left.csv,title,ferrycarrig park,SportFacility_left,title,ferrycarrig park,0.9999997615814209
Stadium_left.csv,title,valley view casino center,SportFacility_left,title,valley view casino center,0.9999997019767761
Stadium_left.csv,title,baluan sholak palace of culture and sports,SportFacility_left,title,baluan sholak palace of culture and sports,0.9999997019767761
Stadium_left.csv,title,tvf 50th anniversary sport hall,SportFacility_left,title,tvf 50th anniversary sport hall,0.9999997019767761
Stadium_left.csv,title,galway sportsgrounds,SportFacility_left,title,galway sportsgrounds,0.9999997019767761
Stadium_left.csv,title,welsh-ryan arena,SportFacility_left,title,welsh-ryan arena,0.9999996423721313
Stadium_left.csv,title,alfond stadium (university of maine),SportFacility_left,title,alfond stadium (university of maine),0.9999996423721313
Stadium_left.csv,title,yale field (1884),SportFacility_left,title,yale field (1884),0.9999996423721313
Stadium_left.csv,title,hard rock live,SportFacility_left,title,hard rock live,0.9999996423721313
Stadium_left.csv,title,dean court,SportFacility_left,title,dean court,0.9999996423721313
Stadium_left.csv,title,"memorial hall (kansas city, kansas)",SportFacility_left,title,"memorial hall (kansas city, kansas)",0.9999996423721313
Stadium_left.csv,title,joe faber field,SportFacility_left,title,joe faber field,0.9999996423721313
Stadium_left.csv,title,tradition field,SportFacility_left,title,tradition field,0.9999995231628418
Stadium_left.csv,title,matadome,SportFacility_left,title,matadome,0.9999995231628418
