candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values,contributing_entities,num_contributing_entities
ShoppingMall_left,title,1.0000001192092896,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","castletown shoppingworld↔castletown shoppingworld(1.00) | city central↔city central(1.00) | the summit (reno, nevada)↔the summit (reno, nevada)(1.00) | west mall↔west mall(1.00) | newpark mall↔newpark mall(1.00) | centro lavington↔centro lavington(1.00) | fox run mall↔fox run mall(1.00) | the mall pavilions↔the mall pavilions(1.00) | louis joliet mall↔louis joliet mall(1.00) | conestoga mall (waterloo, ontario)↔conestoga mall (waterloo, ontario)(1.00)",200
ShoppingMall_right,title,0.8250697255134583,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","The Galleria, The Shops at Prudential Center, Fashion Centre at Pentagon City, Sydney Central Plaza, Mahatma Jyotiba Phule Mandai",castletown shoppingworld↔castletown shoppingworld(1.00) | atlantic terminal (shopping mall)↔atlantic terminal (shopping mall)(1.00) | newpark mall↔newpark mall(1.00) | megabox (shopping mall)↔megabox (shopping mall)(1.00) | the centrepoint↔the centrepoint(1.00) | my mall limassol↔my mall limassol(1.00) | brunswick shopping centre↔brunswick shopping centre(1.00) | square 2 (shopping mall)↔square 2 (shopping mall)(1.00) | paradise park (mall)↔paradise park (mall)(1.00) | the fashion centre at pentagon city↔fashion centre at pentagon city(0.99),200
Venue_left,title,0.6249273419380188,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","st. laurent centre↔st. lawrence centre for the arts(0.78) | the centrepoint↔centre in the square(0.77) | avenue carriage crossing↔the avenue(0.76) | royal victoria place↔royal lepage place(0.76) | palladium square↔the palladium niteclub(0.75) | rhodes shopping centre↔newport centre(0.74) | maple hill pavilion↔toyota pavilion at montage mountain(0.74) | west 12 shepherds bush↔shepherds bush empire(0.74) | crossroads center (waterloo, ia)↔civic center of greater des moines(0.73) | galeria kazimierz↔gardzienice(0.73)",200
Stadium_left,title,0.6246814727783203,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","Craven Cottage, Cardiff Arms Park, Melbourne Cricket Ground, Shea Stadium, Yankee Stadium (1923)",eastland center↔lakeland center(0.79) | albany mall↔albany civic center(0.79) | harbourfront centre↔harbour station(0.79) | centro karingal↔centro insular de deportes(0.75) | central park (shopping complex)↔metro bank park(0.74) | st. laurent centre↔montagne center(0.74) | maple hill pavilion↔pauley pavilion(0.73) | winrock shopping center↔win entertainment centre(0.73) | st. david's (cardiff)↔cardiff athletics stadium(0.72) | brentwood town centre↔brighton centre(0.72),200
SportFacility_left,title,0.6162641644477844,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","Craven Cottage, Cardiff Arms Park, Melbourne Cricket Ground, Shea Stadium, Yankee Stadium (1923)","eastland center↔lakeland center(0.79) | harbourfront centre↔harbour station(0.79) | the summit (reno, nevada)↔silver summit, alberta(0.75) | st. laurent centre↔montagne center(0.74) | winrock shopping center↔win entertainment centre(0.73) | splendid china tower↔china peak(0.72) | brentwood town centre↔brighton centre(0.72) | centrale (croydon)↔caterham common(0.71) | el con mall↔plaza de toros la macarena(0.71) | maple hill pavilion↔hp pavilion at san jose(0.71)",200
SportFacility_right,title,0.5969204306602478,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","Centre Bell, Talking Stick Resort Arena, Moda Center, Astrodome, NRG Stadium","asheville mall↔asheville civic center(0.78) | bentley bridge retail park↔toyota park (bridgeview)(0.77) | star city, seoul↔letsrun park seoul(0.77) | central park (shopping complex)↔bellevue park(0.74) | st. laurent centre↔sasktel centre(0.74) | maple hill pavilion↔hec edmundson pavilion(0.74) | centro bankstown↔bankatlantic center(0.73) | knollwood mall↔cherrywood road(0.72) | brentwood town centre↔linthorpe road(0.72) | la encantada↔la bombonera(0.72)",200
Museum_left,title,0.5956944227218628,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","Bletchley Park, National Baseball Hall of Fame and Museum, British Museum, The Louvre, Rijksmuseum","harbourfront centre↔harbourfront centre(1.00) | shangri-la plaza mall↔shangri la botanical gardens and nature center(0.74) | brentwood town centre↔willistead manor(0.72) | royal victoria place↔prince albert historical museum(0.72) | arsenal mall↔arsenal football club museum(0.71) | eastland center↔eastside projects(0.71) | maple hill pavilion↔oak hall (niagara falls, ontario)(0.69) | paradise park (mall)↔desert christ park(0.69) | centro karingal↔fortaleza san felipe(0.69) | the gallery at military circle↔municipal gallery of athens(0.68)",200
Stadium_right,title,0.5905914902687073,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","Centre Bell, Talking Stick Resort Arena, Moda Center, Astrodome, NRG Stadium",asheville mall↔asheville civic center(0.78) | bentley bridge retail park↔toyota park (bridgeview)(0.77) | central park (shopping complex)↔bellevue park(0.74) | st. laurent centre↔sasktel centre(0.74) | maple hill pavilion↔hec edmundson pavilion(0.74) | centro bankstown↔bankatlantic center(0.73) | knollwood mall↔cherrywood road(0.72) | brentwood town centre↔linthorpe road(0.72) | la encantada↔la bombonera(0.72) | irvine spectrum center↔comcast center (arena)(0.72),200
RailwayLine_left,title,0.5888125896453857,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line",spinderiet (copenhagen)↔m2 (copenhagen)(0.81) | kenwood towne centre↔kenwood branch (cta)(0.78) | cityplace↔city circle(0.76) | westshore mall↔waterfront west lrt(0.73) | galeria kazimierz↔marecka kolej dojazdowa(0.72) | westdale mall↔westside express service(0.71) | westfield franklin park↔bmt franklin avenue line(0.71) | westfield chicago ridge↔chicago subdivision(0.71) | victoria mall↔victoria line(0.71) | sta. lucia east grand mall↔510 spadina(0.71),200
Venue_right,title,0.5801583528518677,"The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","Epstein Theatre, Orchestra Hall (Detroit), Barclaycard Arena, La Monnaie/De Munt, Orchestra Hall (Minneapolis, Minnesota)","irvine spectrum center↔verizon wireless amphitheatre (irvine)(0.82) | broadway mall↔broadway theatre (53rd street)(0.78) | palladium square↔the palladium at the center for the performing arts(0.77) | maple hill pavilion↔blue hills bank pavilion(0.77) | northwest plaza↔northtown center(0.77) | royal victoria place↔victoria hall, stoke-on-trent(0.75) | arsenal mall↔arsenal training centre(0.73) | city centre plaza↔the plaza live(0.72) | brentwood town centre↔cameron public house(0.71) | the mall pavilions↔the pavilion (amphitheatre)(0.71)",200
