candidate_table,candidate_column,similarity_score
EthnicGroup_right,title,0.5591455698013306
Country_right,title,0.49797672033309937
Country_left,title,0.4947112947702408
GivenName_left,title,0.48961253464221954
GivenName_right,title,0.48918190598487854
PoliticalParty_left,title,0.4781227558851242
Monarch_right,title,0.4768972098827362
PoliticalParty_right,title,0.47645901143550873
Amphibian_left,title,0.4759744703769684
Wrestler_right,title,0.4750480651855469
Monarch_left,title,0.47492367029190063
Wrestler_left,title,0.4736449718475342
Magazine_right,title,0.4724585711956024
Reptile_left,title,0.4713910222053528
TelevisionStation_right,title,0.470497727394104
Amphibian_right,title,0.4693164825439453
BasketballTeam_left,title,0.46860073506832123
ChristianBishop_right,title,0.46839627623558044
Reptile_right,title,0.46758677065372467
Legislature_left,title,0.4661097526550293
SportsLeague_left,title,0.46508827805519104
BasketballTeam_right,title,0.46480223536491394
GovernmentAgency_left,title,0.46471360325813293
SoccerLeague_left,title,0.46391452848911285
TelevisionStation_left,title,0.4636096656322479
Race_right,title,0.46276937425136566
Noble_left,title,0.4621070623397827
GovernmentAgency_right,title,0.4608148783445358
Race_left,title,0.4603256285190582
Legislature_right,title,0.45986010134220123
RugbyLeague_left,title,0.459738552570343
RailwayLine_right,title,0.45969828963279724
Song_left,title,0.4591023921966553
ClericalAdministrativeRegion_left,title,0.45899491012096405
Magazine_left,title,0.45899075269699097
MemberOfParliament_left,title,0.45874276757240295
ChristianBishop_left,title,0.45765088498592377
RailwayLine_left,title,0.45712459087371826
Drug_right,title,0.4553554356098175
MemberOfParliament_right,title,0.4549705386161804
HistoricBuilding_left,title,0.4543079733848572
Device_right,title,0.45220521092414856
ShoppingMall_right,title,0.4514751732349396
Drug_left,title,0.450236439704895
Song_right,title,0.4501843601465225
SportsLeague_right,title,0.44963952898979187
Museum_left,title,0.44847477972507477
SoccerLeague_right,title,0.44829992949962616
Tournament_left,title,0.44785718619823456
SportFacility_left,title,0.4474599361419678
