candidate_table,candidate_column,similarity_score
SoccerLeague_right,title,0.5986738502979279
RugbyLeague_left,title,0.5883554816246033
RugbyLeague_right,title,0.5876562595367432
SoccerLeague_left,title,0.5873340368270874
SportsLeague_right,title,0.5808807909488678
SoccerTournament_right,title,0.5170579254627228
FootballLeagueSeason_right,title,0.5130888968706131
SoccerTournament_left,title,0.5120648443698883
Tournament_right,title,0.49755290150642395
FootballLeagueSeason_left,title,0.49257083237171173
FootballMatch_left,title,0.4903850257396698
SoccerClubSeason_right,title,0.4884614646434784
Tournament_left,title,0.48538239300251007
TennisTournament_left,title,0.48214685916900635
TennisTournament_right,title,0.48147299885749817
Race_right,title,0.4812312126159668
MotorsportSeason_left,title,0.47537262737751007
FootballMatch_right,title,0.4717848300933838
MotorsportSeason_right,title,0.47156910598278046
BasketballTeam_right,title,0.47071509063243866
Award_right,title,0.46996401250362396
NationalFootballLeagueSeason_left,title,0.4693436622619629
Award_left,title,0.46855926513671875
RailwayLine_right,title,0.46541768312454224
RailwayLine_left,title,0.4648507684469223
BasketballTeam_left,title,0.46456798911094666
SoccerClubSeason_left,title,0.46375641226768494
Magazine_left,title,0.4634421318769455
Race_left,title,0.46125346422195435
TelevisionStation_right,title,0.46063432097435
Country_right,title,0.4596503973007202
NCAATeamSeason_left,title,0.4586801677942276
Venue_left,title,0.4583790451288223
Stadium_right,title,0.45807817578315735
Magazine_right,title,0.45752981305122375
ShoppingMall_left,title,0.4568619579076767
ShoppingMall_right,title,0.45639610290527344
ArtificialSatellite_left,title,0.45609718561172485
Venue_right,title,0.45456548035144806
Country_left,title,0.4542119950056076
Legislature_right,title,0.45382827520370483
EthnicGroup_right,title,0.45366717875003815
Museum_left,title,0.4535938650369644
SportFacility_left,title,0.4529227614402771
ArtificialSatellite_right,title,0.4528881460428238
PoliticalParty_right,title,0.4520465135574341
SportFacility_right,title,0.4520007520914078
GivenName_right,title,0.4518664926290512
Stadium_left,title,0.45134492218494415
Legislature_left,title,0.45017629861831665
