candidate_table,candidate_column,similarity_score
SoccerLeague_left,title,0.6158132553100586
SoccerLeague_right,title,0.6145290732383728
SportsLeague_right,title,0.5859575271606445
RugbyLeague_left,title,0.5631833672523499
SportsLeague_left,title,0.554519772529602
RugbyLeague_right,title,0.5288063287734985
FootballLeagueSeason_left,title,0.5173584818840027
FootballLeagueSeason_right,title,0.5166893601417542
SoccerTournament_left,title,0.5032525062561035
Tournament_right,title,0.4978056848049164
Tournament_left,title,0.4971902668476105
FootballMatch_left,title,0.4947042167186737
BasketballTeam_right,title,0.4937305152416229
SoccerClubSeason_left,title,0.48393213748931885
Country_left,title,0.48308345675468445
PoliticalParty_right,title,0.4791039526462555
Stadium_right,title,0.47862061858177185
Race_right,title,0.4781114161014557
SoccerTournament_right,title,0.47644129395484924
MotorsportSeason_left,title,0.47442159056663513
Venue_right,title,0.47370490431785583
TelevisionStation_right,title,0.47346463799476624
BasketballTeam_left,title,0.4698537588119507
SportFacility_right,title,0.469558447599411
GovernmentAgency_right,title,0.46766987442970276
TennisTournament_left,title,0.4659152925014496
PoliticalParty_left,title,0.46565482020378113
Award_left,title,0.4653313457965851
TelevisionStation_left,title,0.4638732373714447
Magazine_left,title,0.46220314502716064
Race_left,title,0.4621981680393219
Stadium_left,title,0.4614035189151764
SoccerClubSeason_right,title,0.45899856090545654
Award_right,title,0.45754683017730713
Country_right,title,0.4572901129722595
SportFacility_left,title,0.4549948275089264
RailwayLine_right,title,0.4546751379966736
Magazine_right,title,0.45439741015434265
Venue_left,title,0.4541066586971283
Legislature_left,title,0.4535928964614868
FootballMatch_right,title,0.45354074239730835
NationalFootballLeagueSeason_left,title,0.45163869857788086
RailwayLine_left,title,0.4497264325618744
EthnicGroup_right,title,0.44830256700515747
Legislature_right,title,0.4474962055683136
GovernmentAgency_left,title,0.44547998905181885
ShoppingMall_right,title,0.44414785504341125
EthnicGroup_left,title,0.44214627146720886
MemberOfParliament_left,title,0.4406477212905884
ArtificialSatellite_left,title,0.4398063123226166
